RI	No.	Half-life	+-	P1n	+-	P2n	+-	isfixt1/2	t1/2min	t1/2max	isfixp1n	p1nmin	p1nmax	isfixp2n	p2nmin	p2nmax
135In	1	0.101	0.005	0.5	0.5	0.5	0.5	0	0.0101	1.01	0	0	1	0	0	1
135Sn	2	0.51595	0.0287531	0.205298	0.00126338	0	0	1	0.051595	5.1595	1	0	1	1	0	1
134Sn	3	1.00631	0.0348002	0.242142	0.00111407	0	0	1	0.100631	10.0631	1	0	1	1	0	1
135Sb	4	1.679	0.015	0.22	0.03	0	0	1	0.1679	16.79	1	0	1	1	0	1
134Sb	5	0.78	0.06	0	0	0	0	1	0.078	7.8	1	0	1	1	0	1
133Sn	6	1.46	0.03	0.000294	0.000024	0	0	1	0.146	14.6	1	0	1	1	0	1
135Te	7	19	0.2	0	0	0	0	1	1.9	190	1	0	1	1	0	1
134Te	8	2508	48	0	0	0	0	1	250.8	25080	1	0	1	1	0	1
133Sb	9	140.4	3	0	0	0	0	1	14.04	1404	1	0	1	1	0	1
