RI	No.	Half-life	+-	P1n (max1)	+-	P1n (max1)	+-	isfixt1/2	t1/2min	t1/2max	isfixp1n	p1nmin	p1nmax	isfixp2n	p2nmin	p2nmax
137Sn	1	0.19	0.06	0.5	0.5	0.5	0.5	0	0.09	0.4	0	0	1	0	0	1
137Sb	2	0.492	0.001	0.399	0.018	0	0	1	0.0492	4.92	1	0	1	1	0	1
136Sb	3	0.923	0.014	0.163	0.032	0	0	1	0.0923	9.23	1	0	1	1	0	1
137Te	4	2.49	0.05	0.0299	0.0016	0	0	1	0.249	24.9	1	0	1	1	0	1
136Te	5	17.63	0.08	0.0131	0.0005	0	0	1	1.763	176.3	1	0	1	1	0	1
135Sb	6	1.679	0.015	0.22	0.03	0	0	1	0.1679	16.79	1	0	1	1	0	1
137I	7	24.5	0.2	0.0714	0.0023	0	0	1	2.45	245	1	0	1	1	0	1
136I	8	83.4	1	0	0	0	0	1	8.34	834	1	0	1	1	0	1
135Te	9	19	0.2	0	0	0	0	1	1.9	190	1	0	1	1	0	1
