RI	No.	Half-life	+-	P1n (max1)	+-	P1n (max1)	+-	isfixt1/2	t1/2min	t1/2max	isfixp1n	p1nmin	p1nmax	isfixp2n	p2nmin	p2nmax
135Sn	1	0.515	0.005	0.5	0.5	0.5	0.5	0	0.0515	5.15	0	0	1	0	0	1
135Sb	2	1.679	0.015	0.22	0.03	0	0	1	0.1679	16.79	1	0	1	1	0	1
134Sb	3	0.78	0.06	0	0.03	0	0	1	0.078	7.8	1	0	1	1	0	1
135Te	4	19	0.2	0	0	0	0	1	1.9	190	1	0	1	1	0	1
134Te	5	2508	48	0	0	0	0	1	250.8	25080	1	0	1	1	0	1
133Sb	6	140.4	3	0	0	0	0	1	14.04	1404	1	0	1	1	0	1
135I	7	23688	108	0	0	0	0	1	2368.8	236880	1	0	1	1	0	1
134I	8	3150	12	0	0	0	0	1	315	31500	1	0	1	1	0	1
133Te	9	750	18	0	0	0	0	1	75	7500	1	0	1	1	0	1
