In132	180	1	0.2199	0.00806625	0.0864022	0.0148442	0.0206952	0.012080
In133	180	2	0.16536	0.00120102	0.847121	0.00645088	0.00410454	0.00138881
In134	180	3	0.130328	0.00152937	0.785007	0.012959	0.128516	0.00621126
In135	180	4	0.104289	0.00401905	0.764457	0.0339162	0.0966973	0.0137838
Sn134	180	5	0.985885	0.0370503	0.0865129	0.0416538	0.131581	0.0458142
Sn135	180	6	0.537587	0.0331694	0.0505478	0.0421057	0.106698	0.04872
Sn136	180	7	0.354215	0.00390464	0.179457	0.00571603	0.00272345	0.00126886
Sn137	180	8	0.229644	0.00482282	0.21366	0.014417	0.00793807	0.00326963
Sn138	180	9	0.1623	0.0136642	0.152991	0.067692	0.0985077	0.0534796
Cd131	180	10	0.100528	0.00167465	0.138651	0.00643686	0.000917606	0.00120338
Cd132	180	11	0.0829474	0.00283225	0.902317	0.0371879	0.0157888	0.0106053
Cd133	180	12	0.0603921	0.00695959	0.700221	0.0905904	0.0796549	0.043994
Ag130	180	13	0.0448851	0.00507011	0.493628	0.109844	0.0915971	0.0898214
