In132	120	1	0.221644	0.00878809	0.0882312	0.0137199	0.0183281	0.0109482
In133	120	2	0.16513	0.00143008	0.834623	0.00681097	0.00411649	0.00131252
In134	120	3	0.128884	0.0014349	0.782834	0.0121442	0.125666	0.00564366
In135	120	4	0.10452	0.00388287	0.764255	0.0313838	0.0956583	0.0125783
Sn134	120	5	1.0529	0.0468345	0.119499	0.0344008	0.109646	0.0330757
Sn135	120	6	0.534769	0.0340669	0.0718994	0.0336491	0.0915018	0.0370918
Sn136	120	7	0.35687	0.00401738	0.178378	0.00531779	0.00170299	0.0010517
Sn137	120	8	0.231189	0.00474671	0.204528	0.0130463	0.00723805	0.0028691
Sn138	120	9	0.158021	0.0138948	0.14728	0.0581462	0.0772681	0.0429007
Cd131	120	10	0.100655	0.00163309	0.136127	0.00615105	0.000174816	0.000615786
Cd132	120	11	0.08428	0.00291848	0.898388	0.0340355	0.0116465	0.00876389
Cd133	120	12	0.0587672	0.00673137	0.706031	0.0882229	0.0786091	0.0413206
Ag130	120	13	0.0423785	0.00380137	0.544368	0.0799708	0.0426997	0.0479751
