In132	160	1	0.219971	0.00809072	0.086921	0.0143998	0.0197898	0.011670
In133	160	2	0.165665	0.00120006	0.84448	0.00640164	0.00382328	0.0013412
In134	160	3	0.130096	0.00149196	0.783827	0.0123343	0.128585	0.00601306
In135	160	4	0.104719	0.00396985	0.768196	0.0332277	0.0963798	0.0133691
Sn134	160	5	1.0041	0.0387323	0.102117	0.0398287	0.125342	0.0434384
Sn135	160	6	0.530523	0.0320705	0.0620302	0.0389482	0.0991029	0.0439512
Sn136	160	7	0.355057	0.00383719	0.180342	0.00563827	0.00252338	0.00126303
Sn137	160	8	0.230055	0.00473412	0.209599	0.0138494	0.00825656	0.00312136
Sn138	160	9	0.158668	0.0137069	0.156107	0.0654796	0.091293	0.0504526
Cd131	160	10	0.101425	0.00165571	0.138556	0.00616273	0.000977352	0.00152586
Cd132	160	11	0.0828174	0.00285004	0.896368	0.036199	0.0150469	0.0102392
Cd133	160	12	0.0604143	0.00687939	0.683922	0.0893801	0.0852315	0.0442563
Ag130	160	13	0.0427765	0.00392711	0.522024	0.111448	0.0892588	0.0906373
