In132	200	1	0.216837	0.00797445	0.0828102	0.0150731	0.0212692	0.0123197
In133	200	2	0.16531	0.00125026	0.848203	0.00649805	0.00365552	0.00140991
In134	200	3	0.130275	0.00156878	0.783334	0.0133296	0.12996	0.00642833
In135	200	4	0.103906	0.00407687	0.758559	0.0347907	0.098836	0.014314
Sn134	200	5	0.980718	0.0367262	0.0856545	0.0433302	0.135053	0.0477579
Sn135	200	6	0.528779	0.0328861	0.0493023	0.0422314	0.102996	0.0492475
Sn136	200	7	0.35365	0.00400817	0.179512	0.00584783	0.00267763	0.00129278
Sn137	200	8	0.228728	0.00484486	0.213101	0.0147125	0.00887643	0.0034333
Sn138	200	9	0.159283	0.0143382	0.147672	0.0724193	0.102557	0.0568152
Cd131	200	10	0.100035	0.00169552	0.138701	0.00642443	0.000601702	0.00160718
Cd132	200	11	0.0830416	0.00294399	0.90088	0.0382713	0.0175931	0.0111584
Cd133	200	12	0.0615677	0.00737079	0.691111	0.114127	0.0834442	0.0464639
Ag130	200	13	0.0458087	0.00450665	0.466038	0.118255	0.114192	0.0995895

