In132	220	1	0.216546	0.00807166	0.0829105	0.0156433	0.0210286	0.0128631
In133	220	2	0.165187	0.00124942	0.847021	0.0065671	0.00340093	0.00143569
In134	220	3	0.130363	0.00160886	0.786805	0.0137349	0.131059	0.00664356
In135	220	4	0.104509	0.00424123	0.768889	0.0358771	0.0931514	0.0145437
Sn134	220	5	0.9855	0.0349896	0.05739	0.0479821	0.163608	0.0577085
Sn135	220	6	0.530659	0.0345021	0.0432355	0.0455998	0.110928	0.0535397
Sn136	220	7	0.353847	0.00406086	0.179493	0.00625028	0.00270209	0.00173116
Sn137	220	8	0.2285	0.00496094	0.209589	0.0150838	0.0108187	0.00393144
Sn138	220	9	0.158412	0.0142763	0.129845	0.0740581	0.110707	0.0595296
Cd131	220	10	0.100252	0.00173776	0.137866	0.00756826	1.26758E-07	0.0107424
Cd132	220	11	0.0834641	0.00298133	0.900607	0.03902	0.0191795	0.0116588
Cd133	220	12	0.0589959	0.00730294	0.674691	0.10805	0.0844367	0.046748
Ag130	220	13	0.0458823	0.00458004	0.455711	0.12134	0.11302	0.101165

