In132	140	1	0.220963	0.0081838	0.0881806	0.0138587	0.0195013	0.0111714
In133	140	2	0.165634	0.00118271	0.839858	0.00648914	0.0037711	0.00131535
In134	140	3	0.129291	0.00145378	0.78622	0.0123625	0.127109	0.00583816
In135	140	4	0.104105	0.00380555	0.770137	0.0321957	0.0962877	0.0129861
Sn134	140	5	1.01547	0.0402249	0.114444	0.0345383	0.110025	0.0350576
Sn135	140	6	0.538882	0.0370277	0.0644237	0.0357726	0.093642	0.0389267
Sn136	140	7	0.357201	0.00384781	0.179946	0.0054488	0.00221628	0.00109669
Sn137	140	8	0.232207	0.00465271	0.209521	0.0134093	0.00794748	0.00298278
Sn138	140	9	0.154904	0.0132878	0.151431	0.061363	0.0826224	0.046744
Cd131	140	10	0.101568	0.00164453	0.13752	0.00611336	0.00119756	0.00144935
Cd132	140	11	0.0834047	0.00283276	0.89531	0.0354635	0.0137591	0.00919007
Cd133	140	12	0.061097	0.00682307	0.703684	0.0890742	0.0828336	0.0434539
Ag130	140	13	0.0429334	0.00393381	0.493602	0.109257	0.0931779	0.0921917

