In136	28	33	24	28	6	6	575
Cd134	3	7	3	7	0	0	160
Sn139	7	3	7	3	0	0	92
Ag129	-1	-2	0	-1	-1	-1	38232
Ag130	1	2	1	2	0	0	3099
Ag131	3	3	3	3	0	0	580
Cd130	-8	-6	3	-1	-7	-1	285347
Cd131	8	8	8	9	1	1	94274
Cd132	93	97	89	88	0	2	18247
Cd133	29	33	29	33	0	0	1774
Ag129	-1	-2	0	-1	-1	-1	38232
Ag130	1	2	1	2	0	0	3099
In131	31	48	38	66	10	2	36702
Ag131	3	3	3	3	0	0	580
In132	38	33	45	41	-2	2	10482
In133	926	1232	921	1227	7	1	194956
Cd130	-8	-6	3	-1	-7	-1	285347
Cd131	8	8	8	9	1	1	94274
In134	1667	2188	1368	1871	291	291	71728
Cd132	93	97	89	88	0	2	18247
In135	376	447	339	382	39	63	11081
Cd133	29	33	29	33	0	0	1774
Sn134	80	64	78	66	0	-2	15057
In131	31	48	38	66	10	2	36702
Sn135	37	41	33	35	1	3	8735
In132	38	33	45	41	-2	2	10482
In133	926	1232	921	1227	7	1	194956
Sn136	766	631	749	617	9	19	129704
Sn137	252	212	259	232	5	3	37051
In134	1667	2188	1368	1871	291	291	71728
Sn138	18	10	17	8	0	0	2770
In135	376	447	339	382	39	63	11081
In136	28	33	24	28	6	6	575
Cd134	3	7	3	7	0	0	160
Sn134	80	64	78	66	0	-2	15057
Sn139	7	3	7	3	0	0	92
Sn135	37	41	33	35	1	3	8735
Sn136	766	631	749	617	9	19	129704
Sn137	252	212	259	232	5	3	37051
Sn138	18	10	17	8	0	0	2770
In136	28	33	24	28	6	6	575
Cd134	3	7	3	7	0	0	160
Sn139	7	3	7	3	0	0	92
Ag129	-1	-2	0	-1	-1	-1	38232
Ag129	-1	-2	0	-1	-1	-1	38232
Ag129	-1	-2	0	-1	-1	-1	38232
Ag129	-1	-2	0	-1	-1	-1	38232
Ag129	853	474	840	474	15	17	38232
Ag130	150	151	147	156	5	-5	3099
Ag131	48	47	43	44	3	-1	580
Cd130	1356	737	1432	777	3	39	285347
Cd131	1262	1130	1237	1117	21	15	94274
Cd132	1427	1439	1411	1408	17	27	18247
Cd133	175	183	154	169	18	8	1774
In131	98	113	111	142	23	17	36702
In132	126	149	126	166	1	-1	10482
In133	12769	17146	12538	16798	182	256	194956
In134	6698	8522	5489	7286	1181	1213	71728
In135	1277	1384	1122	1219	153	165	11081
Sn134	227	164	222	179	6	-4	15057
Sn135	90	86	78	77	4	4	8735
Sn136	1996	1773	1942	1705	50	36	129704
Sn137	670	549	655	552	25	13	37051
Sn138	59	36	56	30	2	4	2770
In136	72	74	59	64	15	11	575
Cd134	14	21	13	20	1	1	160
Sn139	9	5	9	5	0	0	92
Ag129	446	228	437	241	9	-5	38232
Ag130	60	79	57	84	5	-3	3099
Ag131	13	12	13	14	0	-2	580
Ag129	446	228	437	241	9	-5	38232
Ag130	60	79	57	84	5	-3	3099
Ag131	13	12	13	14	0	-2	580
Cd130	641	365	658	360	7	15	285347
Cd131	622	558	597	534	10	16	94274
Cd132	791	772	778	760	13	11	18247
Cd133	83	84	75	81	8	0	1774
In131	77	50	74	59	16	16	36702
In132	65	94	70	103	-6	6	10482
In133	6454	8772	6346	8629	89	111	194956
Ag129	853	474	840	474	15	17	38232
Ag130	150	151	147	156	5	-5	3099
Ag131	48	47	43	44	3	-1	580
Cd130	1356	737	1432	777	3	39	285347
Cd131	1262	1130	1237	1117	21	15	94274
Cd132	1427	1439	1411	1408	17	27	18247
Cd133	175	183	154	169	18	8	1774
In131	98	113	111	142	23	17	36702
In132	126	149	126	166	1	-1	10482
In133	12769	17146	12538	16798	182	256	194956
In134	6698	8522	5489	7286	1181	1213	71728
In135	1277	1384	1122	1219	153	165	11081
Sn134	227	164	222	179	6	-4	15057
Sn135	90	86	78	77	4	4	8735
Sn136	1996	1773	1942	1705	50	36	129704
Sn137	670	549	655	552	25	13	37051
Sn138	59	36	56	30	2	4	2770
In136	72	74	59	64	15	11	575
Cd134	14	21	13	20	1	1	160
Sn139	9	5	9	5	0	0	92
Ag129	407	246	403	233	6	22	38232
Ag130	90	72	90	72	0	-2	3099
Ag131	35	35	30	30	3	1	580
Cd130	715	372	774	417	-4	24	285347
Cd131	640	572	640	583	11	-1	94274
Cd132	636	667	633	648	4	16	18247
Cd133	92	99	79	88	10	8	1774
In131	21	63	37	83	7	1	36702
In132	61	55	56	63	7	-7	10482
In133	6315	8374	6192	8169	93	145	194956
In134	3346	4268	2735	3636	603	635	71728
In135	651	733	582	645	78	90	11081
Sn134	85	72	86	72	-2	0	15057
Sn135	47	49	39	41	1	5	8735
Sn136	963	894	948	883	22	6	129704
Sn137	351	279	342	285	14	8	37051
Sn138	45	26	42	22	2	2	2770
In136	36	33	33	31	5	3	575
Cd134	7	8	6	7	1	1	160
Sn139	6	3	6	3	0	0	92
Ag129	446	228	437	241	9	-5	38232
Ag130	60	79	57	84	5	-3	3099
Ag131	13	12	13	14	0	-2	580
Cd130	641	365	658	360	7	15	285347
Cd131	622	558	597	534	10	16	94274
Cd132	791	772	778	760	13	11	18247
Cd133	83	84	75	81	8	0	1774
In131	77	50	74	59	16	16	36702
In132	65	94	70	103	-6	6	10482
In133	6454	8772	6346	8629	89	111	194956
In134	3352	4254	2754	3650	578	578	71728
In135	626	651	540	574	75	75	11081
Sn134	142	92	136	107	8	-4	15057
Sn135	43	37	39	36	3	-1	8735
Sn136	1033	879	994	822	28	30	129704
Sn137	319	270	313	267	11	5	37051
Sn138	14	10	14	8	0	2	2770
In136	36	41	26	33	10	8	575
Cd134	7	13	7	13	0	0	160
Sn139	3	2	3	2	0	0	92
