1	0	0	27.5	-77.45	-39.25	236.06	1	300
2	0	0	27.5	-77.45	0	236.06	1	300
3	0	0	27.5	-77.45	39.25	236.06	1	300
4	0	0	27.5	-106.052	-19.625	236.06	2	300
5	0	0	27.5	-106.052	19.625	236.06	2	300
6	0	0	27.5	-134.655	0	236.06	3	300
7	0	0	27.5	77.45	-39.25	236.06	1	300
8	0	0	27.5	77.45	0	236.06	1	300
9	0	0	27.5	77.45	39.25	236.06	1	300
10	0	0	27.5	106.053	-19.625	236.06	2	300
11	0	0	27.5	106.053	19.625	236.06	2	300
12	0	0	27.5	134.655	0	236.06	3	300
13	1	0	27.5	-77.45	-39.25	-236.06	1	300
14	1	0	27.5	-77.45	0	-236.06	1	300
15	2	0	27.5	-77.45	39.25	-236.06	1	300
16	3	0	27.5	-106.052	-19.625	-236.06	2	300
17	1	0	27.5	-106.052	19.625	-236.06	2	300
18	1	0	27.5	-134.655	0	-236.06	3	300
19	1	0	27.5	77.45	-39.25	-236.06	1	300
20	2	0	27.5	77.45	0	-236.06	1	300
21	2	0	27.5	77.45	39.25	-236.06	1	300
22	3	0	27.5	106.053	-19.625	-236.06	2	300
23	1	0	27.5	106.053	19.625	-236.06	2	300
24	1	0	27.5	134.655	0	-236.06	3	300
25	3	1	27.5	-118.3	77.45	0	3	600
26	3	1	27.5	-69.7	77.45	0	1	600
27	2	1	27.5	-34.85	77.45	0	1	600
28	2	1	27.5	0	77.45	0	1	600
29	2	1	27.5	34.85	77.45	0	1	600
30	2	1	27.5	69.7	77.45	0	1	600
31	3	1	27.5	118.3	77.45	0	3	600
32	3	1	27.5	-97.2	116.7	0	3	600
33	3	1	27.5	-60.362	112.3	0	2	600
34	1	1	27.5	-17.425	107.631	0	2	600
35	1	1	27.5	17.425	107.631	0	2	600
36	1	1	27.5	60.362	112.3	0	2	600
37	1	1	27.5	97.2	116.7	0	3	600
38	1	1	27.5	-73.928	151.378	0	3	600
39	3	1	27.5	-34.85	137.812	0	3	600
40	3	1	27.5	0	147.15	0	3	600
41	3	1	27.5	34.85	137.812	0	3	600
42	1	1	27.5	73.928	151.378	0	3	600
43	1	1	27.5	-27.0595	178.438	0	3	600
44	1	1	27.5	27.0595	178.438	0	3	600
45	1	1	27.5	-118.3	-77.45	0	3	600
46	1	1	27.5	-69.7	-77.45	0	1	600
47	3	1	27.5	-34.85	-77.45	0	1	600
48	3	1	27.5	0	-77.45	0	1	600
49	3	1	27.5	34.85	-77.45	0	1	600
50	3	1	27.5	69.7	-77.45	0	1	600
51	3	1	27.5	118.3	-77.45	0	3	600
52	3	1	27.5	-97.2	-116.7	0	3	600
53	2	1	27.5	-60.362	-112.3	0	2	600
54	2	1	27.5	-17.425	-107.631	0	2	600
55	2	1	27.5	17.425	-107.631	0	2	600
56	2	1	27.5	60.362	-112.3	0	2	600
57	3	1	27.5	97.2	-116.7	0	3	600
58	3	1	27.5	-73.928	-151.378	0	3	600
59	3	1	27.5	-34.85	-137.812	0	3	600
60	3	1	27.5	0	-147.15	0	3	600
61	3	1	27.5	34.85	-137.812	0	3	600
62	3	1	27.5	73.928	-151.378	0	3	600
63	3	1	27.5	-27.0595	-178.438	0	3	600
64	3	1	27.5	27.0595	-178.438	0	3	600
65	5	2	27.5	-215.5	77.45	0	5	609.6
66	4	2	27.5	-166.9	77.45	0	4	609.6
67	4	2	27.5	166.9	77.45	0	4	609.6
68	5	2	27.5	215.5	77.45	0	5	609.6
69	7	2	27.5	-301.012	214.133	0	7	609.6
70	7	2	27.5	-252.393	235.169	0	7	609.6
71	7	2	27.5	252.393	235.169	0	7	609.6
72	7	2	27.5	301.012	214.133	0	7	609.6
73	5	2	27.5	-215.5	-77.45	0	5	609.6
74	4	2	27.5	-166.9	-77.45	0	4	609.6
75	4	2	27.5	166.9	-77.45	0	4	609.6
76	5	2	27.5	215.5	-77.45	0	5	609.6
77	7	2	27.5	-301.012	-214.133	0	7	609.6
78	7	2	27.5	-252.393	-235.169	0	7	609.6
79	7	2	27.5	252.393	-235.169	0	7	609.6
80	7	2	27.5	301.012	-214.133	0	7	609.6
81	4	3	53	-139.932	142.007	0	4	609.6
82	4	3	53	-70.014	198.718	0	4	609.6
83	4	3	53	0	217.478	0	4	609.6
84	4	3	53	70.014	198.718	0	4	609.6
85	4	3	53	139.932	142.007	0	4	609.6
86	5	3	53	-214.903	127.3	0	5	609.6
87	5	3	53	-133.044	210.494	0	5	609.6
88	5	3	53	-48.6976	259.192	0	5	609.6
89	5	3	53	48.6976	259.192	0	5	609.6
90	5	3	53	133.044	210.494	0	5	609.6
91	5	3	53	214.903	127.3	0	5	609.6
92	6	3	53	-273.203	102.2	0	6	609.6
93	6	3	53	-263.894	172.91	0	6	609.6
94	6	3	53	-204.385	193.709	0	6	609.6
95	6	3	53	-118.139	282.073	0	6	609.6
96	6	3	53	0	313.728	0	6	609.6
97	6	3	53	118.139	282.073	0	6	609.6
98	6	3	53	204.385	193.709	0	6	609.6
99	6	3	53	263.894	172.91	0	6	609.6
100	6	3	53	273.203	102.2	0	6	609.6
101	7	3	53	-339.453	102.2	0	7	609.6
102	7	3	53	-323.857	159.305	0	7	609.6
103	7	3	53	-201.103	278.553	0	7	609.6
104	7	3	53	-166.264	365.428	0	7	609.6
105	7	3	53	-73.6089	352.162	0	7	609.6
106	7	3	53	73.6089	352.162	0	7	609.6
107	7	3	53	166.264	365.428	0	7	609.6
108	7	3	53	201.103	278.553	0	7	609.6
109	7	3	53	323.857	159.305	0	7	609.6
110	7	3	53	339.453	102.2	0	7	609.6
