41 62 103 6.2070E+00 1.689 1.851 0.00
41 63 104 2.5360E+00 2.197 3.296 0.01
41 64 105 1.8910E+00 2.018 2.221 0.54
41 65 106 8.8640E-01 2.541 3.740 0.86
41 66 107 5.8140E-01 2.438 2.610 4.60
41 67 108 3.6010E-01 2.868 4.191 5.86
41 68 109 1.7890E-01 2.980 3.037 15.62
41 69 110 9.9920E-02 3.461 4.892 22.64
41 70 111 5.4640E-02 3.674 3.529 37.59
41 71 112 4.0340E-02 3.990 5.405 63.54
41 72 113 3.0250E-02 4.069 3.797 61.76
41 73 114 2.4910E-02 4.300 5.677 69.37
41 74 115 1.9250E-02 4.393 4.015 85.40
41 75 116 1.6670E-02 4.577 5.907 73.49
41 76 117 1.2730E-02 4.709 4.228 87.37
41 77 118 1.1680E-02 4.838 6.117 76.85
41 78 119 8.9450E-03 4.992 4.419 88.82
