



 PAIRING FACTOR=  0.500

 M*,R0  A DEPENDENT AND ALP= 0.600

 WITHOUT BOTTOM RAISING



 ALL-F
 ALL-G-T
 1ST-0A
 1ST-1V
 1ST-1A
 1ST-2A

 MODIFIED  LORENTZ TYPE II + HYPERBOLIC-SEC

 SIGMA1,2 INDEPEND ON THE MASS NUMBER AND SIGMA3=     40.00
 GAMMA=      100.00
 C1= 0.700     C2= 0.300

-----------------------------------------------------------


Calculated by using Gross Theory ver.2  with KTUY mass formula




 Beta    Z    N    A       Q-value   Half-life
 
minus                       (MeV)       (sec)

   -1   43   92  135        20.3336  0.1151E-02
   -1   43   93  136        22.2904  0.1141E-02
   -1   43   94  137        20.8248  0.9719E-03
   -1   43   95  138        22.7921  0.9589E-03
   -1   43   96  139        21.4649  0.7917E-03
   -1   43   97  140        23.4388  0.7787E-03
   -1   43   98  141        22.1809  0.6364E-03
   -1   43   99  142        24.1742  0.6221E-03
   -1   43  100  143        22.8707  0.5187E-03
   -1   43  101  144        24.8506  0.5083E-03
   -1   43  102  145        23.5892  0.4224E-03
   -1   43  103  146        25.5782  0.4127E-03
   -1   43  104  147        24.4211  0.3373E-03
   -1   43  105  148        26.3534  0.3337E-03
   -1   43  106  149        25.1238  0.2794E-03
   -1   43  107  150        27.0986  0.2735E-03
   -1   43  108  151        25.9849  0.2248E-03
   -1   43  109  152        27.8552  0.2250E-03
   -1   43  110  153        26.9528  0.1783E-03
   -1   43  111  154        29.0782  0.1690E-03
   -1   43  112  155        28.1111  0.1372E-03
   -1   43  113  156        30.0479  0.1352E-03
   -1   43  114  157        28.7720  0.1175E-03
   -1   43  115  158        30.4696  0.1211E-03
   -1   43  116  159        29.2946  0.1036E-03
   -1   43  117  160        30.9991  0.1065E-03
   -1   44   59  103         0.4758  0.1543E+06
   -1   44   61  105         1.6371  0.1484E+04
   -1   44   62  106         0.1944  0.5685E+06
   -1   44   63  107         2.7622  0.1578E+03
   -1   44   64  108         1.0321  0.1524E+04
   -1   44   65  109         3.5415  0.4960E+02
   -1   44   66  110         2.1878  0.6300E+02
   -1   44   67  111         4.6901  0.1147E+02
   -1   44   68  112         3.3672  0.8366E+01
   -1   44   69  113         5.8574  0.3108E+01
   -1   44   70  114         4.4957  0.2020E+01
   -1   44   71  115         7.0455  0.9794E+00
   -1   44   72  116         5.6413  0.6438E+00
   -1   44   73  117         8.5126  0.2945E+00
   -1   44   74  118         7.8059  0.1243E+00
   -1   44   75  119        10.5264  0.7716E-01
   -1   44   76  120         8.9486  0.6034E-01
   -1   44   77  121        11.3089  0.4803E-01
   -1   44   78  122         9.8268  0.3626E-01
   -1   44   79  123        11.9841  0.3257E-01
   -1   44   80  124        10.5420  0.2450E-01
   -1   44   81  125        12.5944  0.2327E-01
   -1   44   82  126        11.2045  0.1734E-01
   -1   44   83  127        15.6666  0.6110E-02
   -1   44   84  128        14.2878  0.4797E-02
   -1   44   85  129        16.3038  0.4664E-02
   -1   44   86  130        15.0239  0.3580E-02
   -1   44   87  131        17.0486  0.3468E-02
   -1   44   88  132        15.8517  0.2626E-02
   -1   44   89  133        17.8164  0.2592E-02
   -1   44   90  134        16.5172  0.2056E-02
   -1   44   91  135        18.3973  0.2081E-02
   -1   44   92  136        17.1524  0.1639E-02
   -1   44   93  137        19.1682  0.1588E-02
   -1   44   94  138        17.8293  0.1300E-02
   -1   44   95  139        19.5363  0.1379E-02
   -1   44   96  140        18.1875  0.1138E-02
   -1   44   97  141        20.2320  0.1092E-02
   -1   44   98  142        18.9835  0.8848E-03
   -1   44   99  143        20.9800  0.8604E-03
   -1   44  100  144        19.7172  0.7060E-03
   -1   44  101  145        21.7424  0.6809E-03
   -1   44  102  146        20.4893  0.5622E-03
   -1   44  103  147        22.4399  0.5525E-03
   -1   44  104  148        21.2441  0.4531E-03
   -1   44  105  149        23.1396  0.4510E-03
   -1   44  106  150        21.9728  0.3701E-03
   -1   44  107  151        23.8879  0.3662E-03
   -1   44  108  152        22.7871  0.2983E-03
   -1   44  109  153        24.6404  0.2991E-03
   -1   44  110  154        23.5662  0.2441E-03
   -1   44  111  155        25.3754  0.2468E-03
   -1   44  112  156        24.3329  0.2015E-03
   -1   44  113  157        26.3906  0.1929E-03
   -1   44  114  158        25.4966  0.1542E-03
   -1   44  115  159        27.5037  0.1492E-03
   -1   44  116  160        26.4357  0.1247E-03
   -1   44  117  161        28.0610  0.1304E-03
   -1   44  118  162        26.8360  0.1195E-03
   -1   44  119  163        28.4849  0.1171E-03
   -1   45   57  102         0.3922  0.1460E+07
   -1   45   59  104         1.6939  0.7603E+04
   -1   45   60  105         0.3150  0.5743E+06
   -1   45   61  106         2.9814  0.7682E+03
   -1   45   62  107         1.4737  0.2083E+04
   -1   45   63  108         4.1283  0.1638E+03
   -1   45   64  109         2.5178  0.2147E+03
   -1   45   65  110         4.8711  0.6166E+02
   -1   45   66  111         3.4725  0.4922E+02
   -1   45   67  112         5.9493  0.1693E+02
   -1   45   68  113         4.5869  0.1197E+02
   -1   45   69  114         7.0678  0.5214E+01
   -1   45   70  115         5.6727  0.3566E+01
   -1   45   71  116         8.1326  0.1892E+01
   -1   45   72  117         6.7219  0.1262E+01
   -1   45   73  118         9.1253  0.7960E+00
   -1   45   74  119         8.0416  0.4088E+00
   -1   45   75  120        11.0145  0.1946E+00
   -1   45   76  121        10.1564  0.9433E-01
   -1   45   77  122        12.7192  0.6642E-01
   -1   45   78  123        11.2312  0.4926E-01
   -1   45   79  124        13.3869  0.4442E-01
   -1   45   80  125        11.8886  0.3364E-01
   -1   45   81  126        13.9273  0.3234E-01
   -1   45   82  127        12.5278  0.2365E-01
   -1   45   83  128        17.0421  0.7787E-02
   -1   45   84  129        15.6533  0.6026E-02
   -1   45   85  130        17.7190  0.5783E-02
   -1   45   86  131        16.4274  0.4378E-02
   -1   45   87  132        18.4764  0.4226E-02
   -1   45   88  133        17.1719  0.3262E-02
   -1   45   89  134        19.1175  0.3260E-02
   -1   45   90  135        17.9358  0.2446E-02
   -1   45   91  136        19.7457  0.2550E-02
   -1   45   92  137        18.4952  0.1980E-02
   -1   45   93  138        20.3026  0.2059E-02
   -1   45   94  139        19.1093  0.1586E-02
   -1   45   95  140        20.9034  0.1651E-02
   -1   45   96  141        19.3552  0.1428E-02
   -1   45   97  142        21.3722  0.1386E-02
   -1   45   98  143        20.0931  0.1115E-02
   -1   45   99  144        22.1291  0.1076E-02
   -1   45  100  145        20.8729  0.8693E-03
   -1   45  101  146        22.9086  0.8386E-03
   -1   45  102  147        21.6904  0.6771E-03
   -1   45  103  148        23.6729  0.6622E-03
   -1   45  104  149        22.5187  0.5310E-03
   -1   45  105  150        24.3888  0.5340E-03
   -1   45  106  151        23.1306  0.4431E-03
   -1   45  107  152        25.0417  0.4404E-03
   -1   45  108  153        23.8076  0.3659E-03
   -1   45  109  154        25.7807  0.3579E-03
   -1   45  110  155        24.5750  0.2976E-03
   -1   45  111  156        26.4757  0.2958E-03
   -1   45  112  157        25.2384  0.2493E-03
   -1   45  113  158        27.0864  0.2505E-03
   -1   45  114  159        25.8519  0.2121E-03
   -1   45  115  160        27.9399  0.2021E-03
   -1   45  116  161        27.0919  0.1603E-03
   -1   45  117  162        29.1820  0.1438E-03
   -1   45  118  163        28.0762  0.1282E-03
   -1   45  119  164        29.8600  0.1224E-03
   -1   45  120  165        28.4938  0.1152E-03
   -1   45  121  166        29.9980  0.1162E-03
   -1   45  122  167        28.8136  0.1057E-03
   -1   46   63  109         0.7975  0.2271E+05
   -1   46   65  111         1.7565  0.1031E+04
   -1   46   66  112         0.2153  0.3618E+06
   -1   46   67  113         2.6180  0.1849E+03
   -1   46   68  114         1.2313  0.6714E+03
   -1   46   69  115         3.7259  0.3582E+02
   -1   46   70  116         2.3350  0.4219E+02
   -1   46   71  117         4.7501  0.9830E+01
   -1   46   72  118         3.3200  0.8091E+01
   -1   46   73  119         5.7287  0.3251E+01
   -1   46   74  120         4.3503  0.2166E+01
   -1   46   75  121         6.7383  0.1181E+01
   -1   46   76  122         5.8818  0.4845E+00
   -1   46   77  123         8.8642  0.2113E+00
   -1   46   78  124         8.1021  0.9563E-01
   -1   46   79  125        10.2917  0.8160E-01
   -1   46   80  126         8.7573  0.6250E-01
   -1   46   81  127        10.7686  0.5969E-01
   -1   46   82  128         9.3394  0.4365E-01
   -1   46   83  129        13.8885  0.1241E-01
   -1   46   84  130        12.5255  0.9412E-02
   -1   46   85  131        14.6449  0.8742E-02
   -1   46   86  132        13.3590  0.6536E-02
   -1   46   87  133        15.4812  0.6079E-02
   -1   46   88  134        14.1721  0.4665E-02
   -1   46   89  135        16.0818  0.4697E-02
   -1   46   90  136        14.8139  0.3595E-02
   -1   46   91  137        16.7092  0.3629E-02
   -1   46   92  138        15.4459  0.2807E-02
   -1   46   93  139        17.3643  0.2806E-02
   -1   46   94  140        15.9395  0.2314E-02
   -1   46   95  141        17.7832  0.2366E-02
   -1   46   96  142        16.1741  0.2082E-02
   -1   46   97  143        18.1921  0.2009E-02
   -1   46   98  144        16.8918  0.1614E-02
   -1   46   99  145        18.9135  0.1555E-02
   -1   46  100  146        17.6485  0.1249E-02
   -1   46  101  147        19.6635  0.1206E-02
   -1   46  102  148        18.4986  0.9511E-03
   -1   46  103  149        20.5200  0.9162E-03
   -1   46  104  150        19.2314  0.7559E-03
   -1   46  105  151        21.3217  0.7147E-03
   -1   46  106  152        20.1073  0.5836E-03
   -1   46  107  153        22.0323  0.5763E-03
   -1   46  108  154        20.7222  0.4858E-03
   -1   46  109  155        22.7399  0.4683E-03
   -1   46  110  156        21.4838  0.3923E-03
   -1   46  111  157        23.4382  0.3839E-03
   -1   46  112  158        22.1452  0.3266E-03
   -1   46  113  159        24.0672  0.3219E-03
   -1   46  114  160        22.7156  0.2790E-03
   -1   46  115  161        24.6543  0.2737E-03
   -1   46  116  162        23.4772  0.2450E-03
   -1   46  117  163        25.5158  0.2201E-03
   -1   46  118  164        24.5800  0.1880E-03
   -1   46  119  165        26.6820  0.1672E-03
   -1   46  120  166        25.7010  0.1453E-03
   -1   46  121  167        27.2705  0.1445E-03
   -1   46  122  168        25.9816  0.1341E-03
   -1   46  123  169        27.6564  0.1305E-03
   -1   46  124  170        26.5483  0.1170E-03
   -1   47   61  108         1.0250  0.4945E+05
   -1   47   63  110         2.3158  0.2111E+04
   -1   47   64  111         0.8439  0.1690E+05
   -1   47   65  112         3.3284  0.4544E+03
   -1   47   66  113         1.8308  0.7891E+03
   -1   47   67  114         4.2657  0.1270E+03
   -1   47   68  115         2.8127  0.1213E+03
   -1   47   69  116         5.2971  0.3358E+02
   -1   47   70  117         3.8953  0.2614E+02
   -1   47   71  118         6.3561  0.1006E+02
   -1   47   72  119         4.9108  0.7630E+01
   -1   47   73  120         7.3530  0.3639E+01
   -1   47   74  121         5.9461  0.2490E+01
   -1   47   75  122         8.1725  0.1671E+01
   -1   47   76  123         6.7412  0.1138E+01
   -1   47   77  124         9.0848  0.7506E+00
   -1   47   78  125         8.3578  0.2964E+00
   -1   47   79  126        11.2613  0.1512E+00
   -1   47   80  127        10.1416  0.8748E-01
   -1   47   81  128        12.1383  0.8470E-01
   -1   47   82  129        10.6984  0.6093E-01
   -1   47   83  130        15.2730  0.1621E-01
   -1   47   84  131        13.8725  0.1223E-01
   -1   47   85  132        16.0087  0.1132E-01
   -1   47   86  133        14.6666  0.8480E-02
   -1   47   87  134        16.9041  0.7556E-02
   -1   47   88  135        15.5994  0.5685E-02
   -1   47   89  136        17.6297  0.5505E-02
   -1   47   90  137        16.2247  0.4362E-02
   -1   47   91  138        18.1407  0.4400E-02
   -1   47   92  139        16.7802  0.3464E-02
   -1   47   93  140        18.8050  0.3355E-02
   -1   47   94  141        17.4288  0.2687E-02
   -1   47   95  142        19.2930  0.2745E-02
   -1   47   96  143        17.5277  0.2520E-02
   -1   47   97  144        19.4420  0.2528E-02
   -1   47   98  145        18.1374  0.2002E-02
   -1   47   99  146        20.1441  0.1945E-02
   -1   47  100  147        18.8710  0.1543E-02
   -1   47  101  148        20.8321  0.1519E-02
   -1   47  102  149        19.6301  0.1192E-02
   -1   47  103  150        21.7653  0.1114E-02
   -1   47  104  151        20.3815  0.9321E-03
   -1   47  105  152        22.4256  0.8946E-03
   -1   47  106  153        21.3312  0.6974E-03
   -1   47  107  154        23.2522  0.6919E-03
   -1   47  108  155        21.9576  0.5747E-03
   -1   47  109  156        23.9537  0.5585E-03
   -1   47  110  157        22.6889  0.4639E-03
   -1   47  111  158        24.6106  0.4591E-03
   -1   47  112  159        23.3165  0.3867E-03
   -1   47  113  160        25.2220  0.3838E-03
   -1   47  114  161        23.8729  0.3316E-03
   -1   47  115  162        25.6271  0.3177E-03
   -1   47  116  163        24.6737  0.2683E-03
   -1   47  117  164        26.6391  0.2451E-03
   -1   47  118  165        25.3713  0.2237E-03
   -1   47  119  166        27.1438  0.2135E-03
   -1   47  120  167        26.1208  0.1853E-03
   -1   47  121  168        28.1301  0.1683E-03
   -1   47  122  169        27.2861  0.1417E-03
   -1   47  123  170        28.9610  0.1381E-03
   -1   47  124  171        27.8199  0.1242E-03
   -1   47  125  172        29.6451  0.1175E-03
   -1   47  126  173        28.5672  0.1047E-03
   -1   47  127  174        30.1994  0.1028E-03
   -1   48   65  113         0.5357  0.8900E+05
   -1   48   67  115         1.5887  0.1469E+04
   -1   48   68  116         0.1240  0.1932E+07
   -1   48   69  117         2.5875  0.1838E+03
   -1   48   70  118         1.1054  0.9543E+03
   -1   48   71  119         3.5296  0.4406E+02
   -1   48   72  120         2.1014  0.6263E+02
   -1   48   73  121         4.4427  0.1343E+02
   -1   48   74  122         3.0055  0.1207E+02
   -1   48   75  123         5.3610  0.4562E+01
   -1   48   76  124         3.9370  0.3307E+01
   -1   48   77  125         6.2348  0.1803E+01
   -1   48   78  126         4.8126  0.1227E+01
   -1   48   79  127         7.3069  0.6616E+00
   -1   48   80  128         6.4148  0.2928E+00
   -1   48   81  129         8.9285  0.1862E+00
   -1   48   82  130         7.5560  0.1258E+00
   -1   48   83  131        12.1890  0.2692E-01
   -1   48   84  132        10.7848  0.2012E-01
   -1   48   85  133        12.9684  0.1791E-01
   -1   48   86  134        11.4935  0.1406E-01
   -1   48   87  135        13.6934  0.1249E-01
   -1   48   88  136        12.4302  0.9106E-02
   -1   48   89  137        14.6835  0.7970E-02
   -1   48   90  138        13.3590  0.6085E-02
   -1   48   91  139        15.3939  0.5830E-02
   -1   48   92  140        13.9809  0.4665E-02
   -1   48   93  141        15.9982  0.4498E-02
   -1   48   94  142        14.6229  0.3589E-02
   -1   48   95  143        16.6497  0.3447E-02
   -1   48   96  144        14.9384  0.3120E-02
   -1   48   97  145        16.4419  0.3599E-02
   -1   48   98  146        15.0372  0.2929E-02
   -1   48   99  147        17.0599  0.2812E-02
   -1   48  100  148        15.7798  0.2217E-02
   -1   48  101  149        17.7430  0.2171E-02
   -1   48  102  150        16.4953  0.1712E-02
   -1   48  103  151        18.6011  0.1602E-02
   -1   48  104  152        17.3266  0.1290E-02
   -1   48  105  153        19.2513  0.1276E-02
   -1   48  106  154        18.1713  0.9802E-03
   -1   48  107  155        20.1412  0.9558E-03
   -1   48  108  156        18.9891  0.7591E-03
   -1   48  109  157        20.9553  0.7406E-03
   -1   48  110  158        19.7278  0.6063E-03
   -1   48  111  159        21.6216  0.6026E-03
   -1   48  112  160        20.3173  0.5070E-03
   -1   48  113  161        22.1745  0.5067E-03
   -1   48  114  162        20.8566  0.4636E-03
   -1   48  115  163        22.2799  0.4805E-03
   -1   48  116  164        21.1476  0.4204E-03
   -1   48  117  165        23.2798  0.3655E-03
   -1   48  118  166        22.3799  0.3048E-03
   -1   48  119  167        24.6429  0.2587E-03
   -1   48  120  168        23.6021  0.2251E-03
   -1   48  121  169        25.3034  0.2176E-03
   -1   48  122  170        24.4680  0.1820E-03
   -1   48  123  171        26.1723  0.1758E-03
   -1   48  124  172        24.9621  0.1601E-03
   -1   48  125  173        26.8515  0.1488E-03
   -1   48  126  174        25.7766  0.1323E-03
   -1   48  127  175        27.4182  0.1294E-03
   -1   48  128  176        28.0951  0.8230E-04
   -1   48  129  177        29.9666  0.7718E-04
   -1   49   63  112         0.6822  0.2050E+06
   -1   49   65  114         2.1277  0.2875E+04
   -1   49   66  115         0.7302  0.2707E+05
   -1   49   67  116         3.2106  0.5131E+03
   -1   49   68  117         1.6493  0.1144E+04
   -1   49   69  118         4.1279  0.1444E+03
   -1   49   70  119         2.7130  0.1344E+03
   -1   49   71  120         5.1826  0.3644E+02
   -1   49   72  121         3.7708  0.2912E+02
   -1   49   73  122         6.1959  0.1130E+02
   -1   49   74  123         4.7577  0.8636E+01
   -1   49   75  124         7.0998  0.4403E+01
   -1   49   76  125         5.6655  0.3142E+01
   -1   49   77  126         8.0139  0.1826E+01
   -1   49   78  127         6.6239  0.1205E+01
   -1   49   79  128         8.9437  0.7985E+00
   -1   49   80  129         7.5614  0.5209E+00
   -1   49   81  130         9.9961  0.3415E+00
   -1   49   82  131         8.7524  0.2053E+00
   -1   49   83  132        13.5782  0.3618E-01
   -1   49   84  133        12.1407  0.2691E-01
   -1   49   85  134        14.3365  0.2384E-01
   -1   49   86  135        12.9323  0.1777E-01
   -1   49   87  136        15.0951  0.1609E-01
   -1   49   88  137        13.7474  0.1191E-01
   -1   49   89  138        16.0319  0.1029E-01
   -1   49   90  139        14.8554  0.7253E-02
   -1   49   91  140        17.1302  0.6351E-02
   -1   49   92  141        15.6841  0.5090E-02
   -1   49   93  142        17.6662  0.5000E-02
   -1   49   94  143        16.2074  0.4064E-02
   -1   49   95  144        18.2217  0.3941E-02
   -1   49   96  145        16.9260  0.3053E-02
   -1   49   97  146        18.6530  0.3271E-02
   -1   49   98  147        16.9605  0.2928E-02
   -1   49   99  148        18.6051  0.3224E-02
   -1   49  100  149        16.9990  0.2805E-02
   -1   49  101  150        18.9091  0.2810E-02
   -1   49  102  151        17.7790  0.2095E-02
   -1   49  103  152        19.8028  0.2017E-02
   -1   49  104  153        18.4982  0.1615E-02
   -1   49  105  154        20.4832  0.1574E-02
   -1   49  106  155        19.3205  0.1220E-02
   -1   49  107  156        21.1889  0.1231E-02
   -1   49  108  157        20.0797  0.9495E-03
   -1   49  109  158        22.0690  0.9233E-03
   -1   49  110  159        20.9612  0.7215E-03
   -1   49  111  160        22.8883  0.7134E-03
   -1   49  112  161        21.5975  0.5942E-03
   -1   49  113  162        23.5088  0.5452E-03
   -1   49  114  163        22.6267  0.4442E-03
   -1   49  115  164        24.5004  0.4124E-03
   -1   49  116  165        23.2346  0.3725E-03
   -1   49  117  166        25.1098  0.3460E-03
   -1   49  118  167        23.7840  0.3182E-03
   -1   49  119  168        25.6663  0.2954E-03
   -1   49  120  169        24.5217  0.2613E-03
   -1   49  121  170        26.4544  0.2400E-03
   -1   49  122  171        25.7552  0.1934E-03
   -1   49  123  172        27.4556  0.1874E-03
   -1   49  124  173        26.0817  0.1760E-03
   -1   49  125  174        27.8592  0.1677E-03
   -1   49  126  175        26.8035  0.1476E-03
   -1   49  127  176        28.6430  0.1388E-03
   -1   49  128  177        29.3646  0.8658E-04
   -1   49  129  178        31.3106  0.8015E-04
   -1   49  130  179        29.8196  0.7774E-04
   -1   49  131  180        31.2748  0.7891E-04
   -1   49  132  181        30.0496  0.7288E-04
   -1   50   73  123         0.7593  0.2246E+05
   -1   50   75  125         1.7570  0.8564E+03
   -1   50   76  126         0.3129  0.7965E+05
   -1   50   77  127         2.6391  0.1495E+03
   -1   50   78  128         1.2212  0.5335E+03
   -1   50   79  129         3.5211  0.3961E+02
   -1   50   80  130         2.1077  0.5209E+02
   -1   50   81  131         4.4126  0.1225E+02
   -1   50   82  132         2.9495  0.1122E+02
   -1   50   83  133         7.7494  0.4245E+00
   -1   50   84  134         6.5665  0.2416E+00
   -1   50   85  135         8.9465  0.1694E+00
   -1   50   86  136         7.6099  0.1126E+00
   -1   50   87  137         9.8056  0.9329E-01
   -1   50   88  138         8.4456  0.6468E-01
   -1   50   89  139        10.6032  0.5595E-01
   -1   50   90  140         9.2141  0.4039E-01
   -1   50   91  141        11.5719  0.3183E-01
   -1   50   92  142        10.4812  0.2034E-01
   -1   50   93  143        12.7434  0.1723E-01
   -1   50   94  144        11.4090  0.1278E-01
   -1   50   95  145        13.4635  0.1200E-01
   -1   50   96  146        12.0963  0.9189E-02
   -1   50   97  147        14.1053  0.8813E-02
   -1   50   98  148        13.1015  0.5915E-02
   -1   50   99  149        15.4084  0.5062E-02
   -1   50  100  150        14.1630  0.3843E-02
   -1   50  101  151        15.9471  0.4012E-02
   -1   50  102  152        14.7844  0.2991E-02
   -1   50  103  153        16.7891  0.2881E-02
   -1   50  104  154        15.4949  0.2281E-02
   -1   50  105  155        17.4911  0.2203E-02
   -1   50  106  156        16.2327  0.1744E-02
   -1   50  107  157        18.1983  0.1701E-02
   -1   50  108  158        16.9844  0.1342E-02
   -1   50  109  159        18.9395  0.1312E-02
   -1   50  110  160        17.7887  0.1028E-02
   -1   50  111  161        19.7828  0.9867E-03
   -1   50  112  162        18.5481  0.8714E-03
   -1   50  113  163        20.0425  0.8918E-03
   -1   50  114  164        18.3601  0.8963E-03
   -1   50  115  165        20.1926  0.8325E-03
   -1   50  116  166        18.8898  0.7530E-03
   -1   50  117  167        20.7001  0.7042E-03
   -1   50  118  168        19.3961  0.6394E-03
   -1   50  119  169        21.3031  0.5831E-03
   -1   50  120  170        19.8552  0.5520E-03
   -1   50  121  171        21.5685  0.5300E-03
   -1   50  122  172        20.8620  0.4158E-03
   -1   50  123  173        22.7573  0.3818E-03
   -1   50  124  174        21.6701  0.3328E-03
   -1   50  125  175        23.4745  0.3129E-03
   -1   50  126  176        22.1007  0.2933E-03
   -1   50  127  177        23.8243  0.2811E-03
   -1   50  128  178        24.5026  0.1669E-03
   -1   50  129  179        26.6232  0.1474E-03
   -1   50  130  180        25.6376  0.1287E-03
   -1   50  131  181        27.5723  0.1185E-03
   -1   50  132  182        26.4176  0.1076E-03
   -1   50  133  183        28.1875  0.1025E-03
   -1   50  134  184        26.9996  0.9391E-04
   -1   51   69  120         0.5348  0.4391E+06
   -1   51   71  122         1.4387  0.1239E+05
   -1   51   73  124         2.4124  0.1593E+04
   -1   51   74  125         0.9715  0.8078E+04
   -1   51   75  126         3.3577  0.3816E+03
   -1   51   76  127         1.8967  0.5548E+03
   -1   51   77  128         4.2056  0.1158E+03
   -1   51   78  129         2.7129  0.1173E+03
   -1   51   79  130         5.0057  0.3970E+02
   -1   51   80  131         3.5372  0.3469E+02
   -1   51   81  132         5.7749  0.1559E+02
   -1   51   82  133         4.3323  0.1240E+02
   -1   51   83  134         9.0066  0.6945E+00
   -1   51   84  135         7.6697  0.4389E+00
   -1   51   85  136        10.1061  0.2881E+00
   -1   51   86  137         9.0252  0.1563E+00
   -1   51   87  138        11.3068  0.1225E+00
   -1   51   88  139         9.9406  0.8361E-01
   -1   51   89  140        12.1838  0.6894E-01
   -1   51   90  141        10.9145  0.4573E-01
   -1   51   91  142        13.1174  0.3934E-01
   -1   51   92  143        11.8805  0.2646E-01
   -1   51   93  144        14.2277  0.2149E-01
   -1   51   94  145        13.0642  0.1446E-01
   -1   51   95  146        15.2487  0.1287E-01
   -1   51   96  147        13.9418  0.9494E-02
   -1   51   97  148        15.9369  0.9217E-02
   -1   51   98  149        14.6403  0.6882E-02
   -1   51   99  150        16.6807  0.6559E-02
   -1   51  100  151        15.3623  0.5020E-02
   -1   51  101  152        17.2492  0.5079E-02
   -1   51  102  153        16.0630  0.3745E-02
   -1   51  103  154        18.0491  0.3645E-02
   -1   51  104  155        16.7453  0.2849E-02
   -1   51  105  156        18.7929  0.2713E-02
   -1   51  106  157        17.4487  0.2176E-02
   -1   51  107  158        19.4653  0.2095E-02
   -1   51  108  159        18.1764  0.1668E-02
   -1   51  109  160        20.1618  0.1621E-02
   -1   51  110  161        18.9309  0.1282E-02
   -1   51  111  162        20.8253  0.1171E-02
   -1   51  112  163        19.5866  0.1026E-02
   -1   51  113  164        21.5557  0.9185E-03
   -1   51  114  165        20.0203  0.8812E-03
   -1   51  115  166        21.6691  0.8654E-03
   -1   51  116  167        20.3425  0.7837E-03
   -1   51  117  168        22.1453  0.7365E-03
   -1   51  118  169        20.7350  0.6850E-03
   -1   51  119  170        22.5316  0.6448E-03
   -1   51  120  171        21.1728  0.5929E-03
   -1   51  121  172        22.8472  0.5768E-03
   -1   51  122  173        22.0436  0.4599E-03
   -1   51  123  174        23.7965  0.4384E-03
   -1   51  124  175        22.6698  0.3829E-03
   -1   51  125  176        24.6244  0.3474E-03
   -1   51  126  177        23.4013  0.3124E-03
   -1   51  127  178        25.0818  0.3033E-03
   -1   51  128  179        25.7333  0.1787E-03
   -1   51  129  180        27.5908  0.1670E-03
   -1   51  130  181        26.2640  0.1558E-03
   -1   51  131  182        28.1993  0.1433E-03
   -1   51  132  183        27.3121  0.1223E-03
   -1   51  133  184        29.3942  0.1095E-03
   -1   51  134  185        28.2577  0.9896E-04
   -1   51  135  186        29.9248  0.9639E-04
   -1   51  136  187        28.5033  0.9231E-04
   -1   51  137  188        30.3415  0.8694E-04
   -1   52   75  127         0.3793  0.2367E+06
   -1   52   77  129         1.2881  0.2799E+04
   -1   52   79  131         1.9720  0.4883E+03
   -1   52   80  132         0.5100  0.1315E+05
   -1   52   81  133         2.7480  0.1165E+03
   -1   52   82  134         1.2832  0.3916E+03
   -1   52   83  135         5.9744  0.2048E+01
   -1   52   84  136         4.5656  0.1387E+01
   -1   52   85  137         6.7710  0.9268E+00
   -1   52   86  138         5.6304  0.4902E+00
   -1   52   87  139         8.1647  0.2834E+00
   -1   52   88  140         7.1971  0.1420E+00
   -1   52   89  141         9.4934  0.1084E+00
   -1   52   90  142         8.1855  0.7239E-01
   -1   52   91  143        10.3716  0.6105E-01
   -1   52   92  144         9.0517  0.4229E-01
   -1   52   93  145        11.2198  0.3664E-01
   -1   52   94  146         9.9405  0.2551E-01
   -1   52   95  147        12.2203  0.2117E-01
   -1   52   96  148        10.9836  0.1488E-01
   -1   52   97  149        12.9887  0.1423E-01
   -1   52   98  150        11.7036  0.1044E-01
   -1   52   99  151        13.7766  0.9704E-02
   -1   52  100  152        12.4605  0.7349E-02
   -1   52  101  153        14.4286  0.7153E-02
   -1   52  102  154        13.1918  0.5326E-02
   -1   52  103  155        15.1720  0.5158E-02
   -1   52  104  156        13.8890  0.3970E-02
   -1   52  105  157        15.8897  0.3816E-02
   -1   52  106  158        14.6215  0.2962E-02
   -1   52  107  159        16.6381  0.2832E-02
   -1   52  108  160        15.3207  0.2264E-02
   -1   52  109  161        17.3250  0.2149E-02
   -1   52  110  162        16.0688  0.1875E-02
   -1   52  111  163        17.9968  0.1679E-02
   -1   52  112  164        16.6836  0.1501E-02
   -1   52  113  165        18.6234  0.1342E-02
   -1   52  114  166        17.4475  0.1157E-02
   -1   52  115  167        19.2683  0.1075E-02
   -1   52  116  168        17.9947  0.9600E-03
   -1   52  117  169        19.7969  0.8976E-03
   -1   52  118  170        18.5090  0.8080E-03
   -1   52  119  171        20.2377  0.7717E-03
   -1   52  120  172        18.8736  0.7120E-03
   -1   52  121  173        20.4346  0.7123E-03
   -1   52  122  174        19.3179  0.6153E-03
   -1   52  123  175        21.1078  0.5779E-03
   -1   52  124  176        19.9151  0.5123E-03
   -1   52  125  177        21.7387  0.4773E-03
   -1   52  126  178        20.6459  0.4143E-03
   -1   52  127  179        22.3423  0.3991E-03
   -1   52  128  180        22.9917  0.2300E-03
   -1   52  129  181        24.8369  0.2146E-03
   -1   52  130  182        23.4190  0.2043E-03
   -1   52  131  183        25.0215  0.2013E-03
   -1   52  132  184        23.7686  0.1849E-03
