



 PAIRING FACTOR=  0.500

 M*,R0  A DEPENDENT AND ALP= 0.600

 WITHOUT BOTTOM RAISING



 ALL-F
 ALL-G-T
 1ST-0A
 1ST-1V
 1ST-1A
 1ST-2A

 MODIFIED  LORENTZ TYPE II + HYPERBOLIC-SEC

 SIGMA1,2 INDEPEND ON THE MASS NUMBER AND SIGMA3=     40.00
 GAMMA=      100.00
 C1= 0.700     C2= 0.300

-----------------------------------------------------------


Calculated by using Gross Theory ver.2  with KTUY mass formula




 Beta    Z    N    A       Q-value   Half-life
 
minus                       (MeV)       (sec)

   -1   11   19   30        17.3785  0.4706E-01
   -1   11   20   31        16.4219  0.2114E-01
   -1   11   21   32        21.1448  0.1066E-01
   -1   11   22   33        19.8471  0.6030E-02
   -1   11   23   34        23.3686  0.4699E-02
   -1   11   24   35        22.4101  0.2631E-02
   -1   11   25   36        25.9448  0.2083E-02
   -1   11   26   37        24.9199  0.1292E-02
   -1   11   27   38        28.2754  0.1075E-02
   -1   11   28   39        27.5176  0.6731E-03
   -1   11   29   40        30.6405  0.5894E-03
   -1   11   30   41        29.4654  0.4210E-03
   -1   11   31   42        32.3073  0.3871E-03
   -1   11   32   43        31.3605  0.2749E-03
   -1   11   33   44        34.0248  0.2592E-03
   -1   11   34   45        34.0570  0.1635E-03
   -1   12   15   27         3.2625  0.8410E+02
   -1   12   16   28         2.3793  0.8459E+02
   -1   12   17   29         7.6663  0.1774E+01
   -1   12   18   30         6.4490  0.9026E+00
   -1   12   19   31        11.0611  0.2310E+00
   -1   12   20   32        10.0467  0.9675E-01
   -1   12   21   33        14.8865  0.3609E-01
   -1   12   22   34        13.7514  0.1808E-01
   -1   12   23   35        17.4066  0.1234E-01
   -1   12   24   36        16.3534  0.6626E-02
   -1   12   25   37        20.0748  0.4677E-02
   -1   12   26   38        19.3655  0.2553E-02
   -1   12   27   39        22.9666  0.1935E-02
   -1   12   28   40        22.1103  0.1206E-02
   -1   12   29   41        25.8959  0.8960E-03
   -1   12   30   42        24.8868  0.6174E-03
