43 66 109 6.0500E+00 1.643 1.864 0.00
43 67 110 2.4260E+00 2.157 3.289 0.01
43 68 111 1.5570E+00 2.023 2.284 0.67
43 69 112 8.1440E-01 2.508 3.766 1.18
43 70 113 5.2680E-01 2.418 2.638 5.20
43 71 114 2.6670E-01 2.929 4.335 7.97
43 72 115 1.3590E-01 3.066 3.128 20.75
43 73 116 7.2660E-02 3.572 5.039 23.78
43 74 117 4.8470E-02 3.685 3.553 38.39
43 75 118 4.0360E-02 3.915 5.358 47.71
43 76 119 3.2470E-02 3.942 3.726 51.72
43 77 120 2.6970E-02 4.165 5.576 52.68
43 78 121 2.0530E-02 4.264 3.940 61.77
43 79 122 1.9180E-02 4.389 5.763 71.91
43 80 123 1.4350E-02 4.528 4.115 60.80
