Ag130,0.0332076,0.0020252,0.632651,0.0525673,0.00262137,0.0136388,63.0521,225,0.05,9.05
Ag131,0.0341207,0.00428705,0.999999,0.855727,2.97156e-09,0.0652066,59.0706,150,0.05,9.05
Cd129,0.175239,0.00918419,0.0213863,0.00755557,0.0113048,0.00468241,54.8279,450,0.05,9.05
Cd130,0.140225,0.00171824,0.0366685,0.00228156,0.0107952,0.00126822,63.7938,900,0.05,9.05
Cd131,0.106627,0.00249689,0.136318,0.00465628,0.00968546,0.00213808,57.3554,450,0.05,9.05
Cd132,0.0808073,0.0030491,0.930874,0.0282492,0.030923,0.00609181,49.1706,225,0.05,9.05
Cd133,0.0578077,0.00173182,0.772577,0.0529497,0.0492941,0.0218609,60.155,225,0.05,9.05
In131,0.285214,0.0134181,0.0344759,0.00541008,0.00953487,0.00371631,56.2275,450,0.05,9.05
In132,0.211203,0.0149332,0.117214,0.0104367,0.00834892,0.00531177,63.4899,450,0.05,9.05
In133,0.165372,0.00149926,0.827996,0.0086303,0.0284295,0.00197269,47.248,225,0.05,9.05
In134,0.132432,0.000410254,0.737433,0.0113706,0.145682,0.00447792,55.2454,225,0.05,9.05
In135,0.105752,0.00379637,0.749884,0.025397,0.115789,0.00967715,61.5683,225,0.05,9.05
Sn134,1.12701,0.117455,0.217102,0.0247187,3.10919e-10,0.00750319,61.7665,150,0.05,9.05
Sn135,0.484308,0.0624142,0.150704,0.0235623,0.0192665,0.0114466,48.037,150,0.05,9.05
Sn136,0.388298,0.00701637,0.189612,0.00468894,0.0118049,0.00192087,67.4662,225,0.05,9.05
Sn137,0.256861,0.00744358,0.21438,0.0109147,0.0316583,0.00372182,63.3563,225,0.05,9.05
Sn138,0.138815,0.0176658,0.227182,0.0492778,1.06996e-10,0.00170824,51.1002,100,0.05,9.05
Ag130,0.0406047,0.00419495,0.684177,0.0526621,2.33951e-07,0.672772,38.5213,225,0.05,9.05
Ag131,0.0293252,0.00336393,0.829208,0.232311,0.0819398,0.201478,40.282,150,0.05,9.05
Cd129,0.146773,0.00403485,0.0177985,0.00470889,0.000739562,0.00335128,34.5711,450,0.05,9.05
Cd130,0.134217,0.000856429,0.0355989,0.00168736,0.00541453,0.000697034,38.8553,900,0.05,9.05
Cd131,0.0973628,0.00130379,0.154269,0.00500017,0.00446377,0.00128966,32.763,450,0.05,9.05
Cd132,0.0807374,0.00237292,0.9326,0.0256628,0.00929825,0.00345515,33.5735,225,0.05,9.05
Cd133,0.0545622,0.00549514,0.884122,0.0616613,0.0196265,0.0215014,40.1751,225,0.05,9.05
In131,0.274504,0.00484435,0.0311583,0.00334838,0.00106701,0.00212837,36.6763,450,0.05,9.05
