Ag129,18,0.00336172,0.001875,0.001375,0.00162889,0.00410785
Ag130,18,0.0370943,0.004625,0.005375,0.00495197,0.0450632
Cd130,18,0.000389874,0.0003125,8.75e-05,0.000163513,0.000252966
Cd131,18,1.7982e-07,1.25e-05,0.0004625,0.000286556,0.948898
Cd132,18,1.57919e-06,5e-05,0.00205,0.0018764,0.00242195
In131,18,0.00107229,0.000475,0.000275,0.000407841,0.0029115
In132,18,0.0165807,0.002625,0.003625,0.00316271,0.000915607
In133,18,0.00352354,0.00085,0.00085,0.00088484,0.00143337
In134,18,0.12915,0.01575,0.02025,0.0180938,0.00629847
Sn134,18,0.0233515,0.00375,0.00475,0.00431241,0.0105967
Sn135,18,0.0368449,0.00475,0.00725,0.00653907,0.0198297
Sn136,18,4.16707e-05,2.5e-05,0.001225,0.000528957,0.000294237
Sn137,18,0.00748063,0.001125,0.001575,0.00143105,0.0033316
