Cd133,0.0586477,0.00853883,0.743401,0.0992649,0.0697262,0.0370253,0.00676005,0.00809988,0.000974421,71707.3,1200,-10,20
Sn138,0.126827,0.0123474,0.0428723,0.0492331,0.0638808,0.0399047,0.00587867,0.00779185,0.00121748,107210,1200,-10,20
Ag131,0.0376651,0.0059986,0.698761,0.371091,0.23402,0.615754,0.0067176,0.00869336,0.000922023,24319.7,1200,-10,20
Sn134,1.02905,0.0418077,0.213322,0.0162495,0.0233515,0.0105967,0.00594018,0.00752549,0.00100256,615888,1200,-10,20
Sn135,0.520263,0.0321117,0.144481,0.0277326,0.0368449,0.0198297,0.00631593,0.00807719,0.000984793,308359,1200,-10,20
In135,0.108183,0.00350645,0.808719,0.0327336,0.096215,0.0128761,0.00573531,0.00754595,0.00111574,480085,1200,-10,20
Ag130,0.048081,0.00683061,0.579612,0.105412,0.0370943,0.0450632,0.00592618,0.0071738,0.000831745,111747,1200,-10,20
In132,0.229271,0.0107458,0.0977382,0.0121131,0.0165807,0.000915607,0.00608487,0.00781463,0.00115024,480815,1200,-10,20
Sn137,0.221986,0.00534182,0.152323,0.0136108,0.00748063,0.0033316,0.0064398,0.00805203,0.00104643,1.54656e+06,1200,-10,20
Cd132,0.0825322,0.00109077,0.948731,0.0429426,1.57919e-06,0.00242195,0.00598952,0.00768441,0.00110067,605815,1200,-10,20
Ag131,0.0365069,0.00715491,0.715489,0.743905,0.280064,0.640006,0.0067176,0.00869336,0.000922023,25356.5,1200,-10,20
In134,0.126442,0.0015586,0.801791,0.0134541,0.12915,0.00629847,0.00608052,0.0077863,0.00109986,2.76939e+06,1200,-10,20
In131,0.279478,0.00293057,0.0274992,0.00477325,0.00107229,0.0029115,0.00588598,0.0076049,0.00103916,1.49294e+06,1200,-10,20
In133,0.165479,0.00134252,0.852164,0.0075559,0.00352354,0.00143337,0.00597382,0.00766372,0.00106509,6.4165e+06,1200,-10,20
Sn136,0.367146,0.00436094,0.192756,0.00453546,4.16707e-05,0.000294237,0.0059933,0.00766147,0.00106096,6.19654e+06,1200,-10,20
Ag129,0.0533774,0.00319021,0.209124,0.0139399,0.00336172,0.00410785,0.00605455,0.00778621,0.0011227,1.51485e+06,1200,-10,20
Cd131,0.104018,0.000875976,0.155798,0.0589092,1.7982e-07,0.948898,0.00608906,0.00774128,0.00105797,3.05501e+06,1200,-10,20
Cd130,0.137551,0.00134664,0.0333096,0.00178933,0.000389874,0.000252966,0.00606004,0.00771956,0.00103087,1.12263e+07,1200,-10,20
Ag129,0.0533774,0.00319021,0.209124,0.0139399,0.00336172,0.00410785,0.00605455,0.00778621,0.0011227,1.51485e+06,1200,-10,20
