Ag129,18,0.000619745,0.0001125,0.0002025,0.000170143,0.00183291
Ag130,18,0.0135134,0.001875,0.002475,0.00220929,0.0141959
Ag131,18,0.0198342,0.003875,0.005625,0.00479082,0.0427792
Cd130,18,0.000362768,6.25e-05,8.75e-05,0.000110583,0.000581554
Cd131,18,0.000161495,0.000165,0.000425,0.000287529,0.00213163
Cd132,18,3.92148e-11,5e-08,5.5e-07,4.13753e-08,0.00838967
Cd133,18,0.0529575,0.0075,0.0105,0.00929958,0.0251562
In131,18,0.00230743,0.0003625,0.0004375,0.000425107,0.00206377
In132,18,0.00951495,0.001425,0.002025,0.00177464,0.00744155
In133,18,0.00332861,0.0004375,0.0005375,0.000518724,0.00110131
In134,18,0.123741,0.0155,0.0205,0.0185376,0.00525767
In135,18,0.0937459,0.0135,0.0195,0.0170214,0.0111442
Sn134,18,0.0206695,0.003,0.0042,0.00377262,0.0100239
Sn135,18,0.0314279,0.005,0.0062,0.00575002,0.0168928
Sn136,18,0.00148745,0.00023,0.00031,0.000301293,0.000985363
Sn137,18,0.00474467,0.000775,0.001075,0.000981065,0.00246294
Sn138,18,0.0238447,0.00375,0.00575,0.00484776,0.0180058
