RI	No.	Half-life	+-	P1n (max1)	+-	P2n (max1)	+-	isfixt1/2	t1/2min	t1/2max	isfixp1n	p1nmin	p1nmax	isfixp2n	p2nmin	p2nmax
133Cd	1	0.057	0.01	0.5	0.5	0.5	0.5	0	0.0057	0.57	0	0	1	0	0	1
133In	2	0.165332	0.00220009	0.910776	0.00233691	0	0	1	0.0165332	1.65332	1	0	1	1	0	1
132In	3	0.212743	0.00749333	0.131116	0.00105754	0	0	1	0.0212743	2.12743	1	0	1	1	0	1
133Sn	4	1.46	0.03	0.000294	0.000024	0	0	1	0.146	14.6	1	0	1	1	0	1
132Sn	5	39.7	0.8	0	0	0	0	1	3.97	397	1	0	1	1	0	1
131In	6	0.27802	0.00616357	0.0306856	0.00164811	0	0	1	0.027802	2.7802	1	0	1	1	0	1
133Sb	7	140.4	3	0	0	0	0	1	14.04	1404	1	0	1	1	0	1
132Sb	8	167.4	4.2	0	0	0	0	1	16.74	1674	1	0	1	1	0	1
131Sn	9	56	0.5	0	0	0	0	1	5.6	560	1	0	1	1	0	1
