   12  33             0.00027  0.1534 0.8466 0.0000 0.0000
   12  34             0.00150  0.0000 0.0000 1.0000 0.0000
   12  35             0.00068  0.0000 1.0000 0.0000 0.0000
   13  15            23.62478  1.0000 0.0000 0.0000 0.0000
   13  16            28.27894  1.0000 0.0000 0.0000 0.0000
   13  17             1.17039  1.0000 0.0000 0.0000 0.0000
   13  18             0.16887  1.0000 0.0000 0.0000 0.0000
   13  19             0.03222  0.9987 0.0013 0.0000 0.0000
   13  20             0.01637  0.9767 0.0233 0.0000 0.0000
   13  21             0.01629  0.9424 0.0531 0.0046 0.0000
   13  22             0.01066  0.9163 0.0827 0.0011 0.0000
   13  23             0.00786  0.8636 0.0874 0.0490 0.0000
   13  24             0.00992  0.8965 0.0769 0.0216 0.0050
   13  25             0.00469  0.7855 0.0672 0.1322 0.0151
   13  26             0.00443  0.0368 0.8808 0.0197 0.0626
   13  27             0.00373  0.0206 0.1557 0.7383 0.0853
   13  28             0.00364  0.4225 0.3999 0.0730 0.1045
   13  29             0.00140  0.1066 0.3089 0.3298 0.2546
   13  30             0.00099  0.0000 0.0496 0.5459 0.4045
   13  31             0.00086  0.0061 0.9939 0.0000 0.0000
   13  32             0.00418  0.0000 0.0189 0.9811 0.0000
   13  33             0.00040  0.0041 0.9959 0.0000 0.0000
   13  34             0.00084  0.0000 0.0000 1.0000 0.0000
   13  35             0.00073  0.0070 0.9930 0.0000 0.0000
   13  36             0.00058  0.0000 0.0000 1.0000 0.0000
   13  37             0.00055  0.0108 0.9892 0.0000 0.0000
   13  38             0.00051  0.0000 0.0000 1.0000 0.0000
   14  17          3208.08765  1.0000 0.0000 0.0000 0.0000
   14  18    6797784064.00000  1.0000 0.0000 0.0000 0.0000
   14  19             1.88960  1.0000 0.0000 0.0000 0.0000
   14  20            20.59498  1.0000 0.0000 0.0000 0.0000
   14  21             1.52039  0.9948 0.0052 0.0000 0.0000
   14  22             2.43080  0.7073 0.2927 0.0000 0.0000
   14  23             0.10329  0.8687 0.1292 0.0021 0.0000
   14  24             0.16756  0.6405 0.3595 0.0000 0.0000
   14  25             0.10146  0.7055 0.2706 0.0239 0.0000
   14  26             0.03057  0.5129 0.4867 0.0004 0.0000
   14  27             0.04478  0.4541 0.4480 0.0980 0.0000
   14  28             0.04342  0.5519 0.4037 0.0444 0.0001
   14  29             0.01048  0.4394 0.2370 0.2942 0.0295
   14  30             0.01415  0.0000 0.5715 0.1886 0.2399
   14  31             0.00745  0.0638 0.9362 0.0000 0.0000
   14  32             0.01862  0.0574 0.2561 0.6864 0.0000
   14  33             0.00098  0.3640 0.0195 0.2126 0.4039
   14  34             0.00169  0.0000 0.0221 0.0049 0.9730
   14  35             0.00128  0.0119 0.9881 0.0000 0.0000
   14  36             0.00110  0.0000 0.0000 1.0000 0.0000
   14  37             0.00095  0.0258 0.9742 0.0000 0.0000
   14  38             0.00088  0.0000 0.0000 1.0000 0.0000
   14  39             0.00098  0.0033 0.9967 0.0000 0.0000
   14  40             0.00074  0.0000 0.0000 1.0000 0.0000
   15  17       1993717.25000  1.0000 0.0000 0.0000 0.0000
   15  18    7723963392.00000  1.0000 0.0000 0.0000 0.0000
   15  19            66.95705  1.0000 0.0000 0.0000 0.0000
   15  20             7.89514  1.0000 0.0000 0.0000 0.0000
   15  21             1.21504  1.0000 0.0000 0.0000 0.0000
   15  22             1.37710  0.9786 0.0214 0.0000 0.0000
   15  23             0.27595  0.9838 0.0162 0.0000 0.0000
   15  24             0.30038  0.9363 0.0637 0.0000 0.0000
   15  25             0.20957  0.8896 0.1078 0.0026 0.0000
   15  26             0.08859  0.8055 0.1940 0.0005 0.0000
   15  27             0.04212  0.5089 0.3632 0.1279 0.0000
   15  28             0.03396  0.5488 0.4188 0.0324 0.0000
   15  29             0.01718  0.1544 0.5089 0.3210 0.0156
   15  30             0.01334  0.0805 0.4391 0.2720 0.2085
   15  31             0.00399  0.0150 0.0263 0.8247 0.1340
   15  32             0.01338  0.0615 0.0999 0.0857 0.7529
   15  33             0.00183  0.0080 0.0000 0.4950 0.4970
   15  34             0.00219  0.0000 0.0323 0.0061 0.9616
   15  35             0.00128  0.0133 0.9867 0.0000 0.0000
   15  36             0.00121  0.0000 0.0208 0.9792 0.0000
   15  37             0.00094  0.0134 0.9866 0.0000 0.0000
   15  38             0.00075  0.0000 0.0000 1.0000 0.0000
   15  39             0.00082  0.0099 0.9901 0.0000 0.0000
   15  40             0.00081  0.0000 0.0000 1.0000 0.0000
   15  41             0.00060  0.0073 0.9927 0.0000 0.0000
   15  42             0.00052  0.0000 0.0000 1.0000 0.0000
   16  19   39895433216.00000  1.0000 0.0000 0.0000 0.0000
   16  21           320.90619  1.0000 0.0000 0.0000 0.0000
   16  22         11785.99316  1.0000 0.0000 0.0000 0.0000
   16  23             4.88369  1.0000 0.0000 0.0000 0.0000
   16  24            30.42409  1.0000 0.0000 0.0000 0.0000
   16  25             1.50572  0.9999 0.0001 0.0000 0.0000
   16  26             2.48488  0.9854 0.0146 0.0000 0.0000
   16  27             0.72828  0.8850 0.1150 0.0000 0.0000
   16  28             0.38989  0.4760 0.5240 0.0000 0.0000
   16  29             0.04610  0.7380 0.2454 0.0166 0.0000
   16  30             0.03079  0.4113 0.5748 0.0139 0.0000
   16  31             0.00523  0.7951 0.1012 0.1025 0.0012
   16  32             0.01091  0.0624 0.7469 0.0980 0.0927
   16  33             0.00441  0.4231 0.1853 0.2795 0.1121
   16  34             0.00441  0.0427 0.7582 0.0425 0.1567
   16  35             0.00301  0.0442 0.0224 0.4405 0.4930
   16  36             0.00223  0.0000 0.1506 0.1808 0.6685
   16  37             0.00202  0.0263 0.9737 0.0000 0.0000
   16  38             0.00170  0.0000 0.0394 0.9606 0.0000
   16  39             0.00175  0.0192 0.9808 0.0000 0.0000
   16  40             0.00155  0.0000 0.0082 0.9918 0.0000
   16  41             0.00134  0.0164 0.9836 0.0000 0.0000
   16  42             0.00080  0.0096 0.0175 0.9729 0.0000
   16  43             0.00031  0.0180 0.0007 0.0167 0.9645
   16  44             0.00021  0.0000 0.0000 0.0052 0.9948
   17  19         17320.65820  1.0000 0.0000 0.0000 0.0000
   17  21          2655.96313  1.0000 0.0000 0.0000 0.0000
   17  22           813.19843  1.0000 0.0000 0.0000 0.0000
   17  23            15.25790  1.0000 0.0000 0.0000 0.0000
   17  24            15.81716  1.0000 0.0000 0.0000 0.0000
   17  25             2.16123  1.0000 0.0000 0.0000 0.0000
   17  26             2.48074  0.9890 0.0110 0.0000 0.0000
   17  27             0.87084  0.9292 0.0708 0.0000 0.0000
   17  28             0.70366  0.8805 0.1195 0.0000 0.0000
   17  29             0.09312  0.8172 0.1792 0.0036 0.0000
   17  30             0.05154  0.4319 0.5659 0.0022 0.0000
   17  31             0.02479  0.1582 0.6107 0.2310 0.0000
   17  32             0.01885  0.0832 0.6499 0.2260 0.0409
   17  33             0.00440  0.1737 0.4021 0.3656 0.0586
   17  34             0.00618  0.0523 0.4059 0.2496 0.2921
   17  35             0.00391  0.0241 0.0324 0.4747 0.4687
   17  36             0.00270  0.0086 0.0714 0.0833 0.8366
   17  37             0.00186  0.0126 0.0000 0.1640 0.8234
   17  38             0.00086  0.0316 0.1878 0.0234 0.7571
   17  39             0.00067  0.0278 0.0328 0.1530 0.7864
   17  40             0.00069  0.0000 0.0662 0.0746 0.8591
   17  41             0.00119  0.0096 0.9904 0.0000 0.0000
   17  42             0.00110  0.0000 0.0210 0.9790 0.0000
   17  43             0.00097  0.0086 0.9914 0.0000 0.0000
   17  44             0.00098  0.0000 0.0260 0.9740 0.0000
   17  45             0.00064  0.0094 0.9906 0.0000 0.0000
   17  46             0.00051  0.0000 0.0000 1.0000 0.0000
   18  21     124465216.00000  1.0000 0.0000 0.0000 0.0000
   18  23         74458.54688  1.0000 0.0000 0.0000 0.0000
   18  24      37214904.00000  1.0000 0.0000 0.0000 0.0000
   18  25           145.67790  1.0000 0.0000 0.0000 0.0000
   18  26          1817.01587  1.0000 0.0000 0.0000 0.0000
   18  27             6.82627  1.0000 0.0000 0.0000 0.0000
   18  28            33.99358  1.0000 0.0000 0.0000 0.0000
   18  29             0.64047  0.9991 0.0009 0.0000 0.0000
   18  30             0.18186  0.7527 0.2473 0.0000 0.0000
   18  31             0.05490  0.7683 0.2286 0.0031 0.0000
   18  32             0.03871  0.8185 0.1809 0.0006 0.0000
   18  33             0.01977  0.6406 0.2687 0.0907 0.0000
   18  34             0.01401  0.5851 0.3525 0.0610 0.0015
