Cd127	1	210.178	2.63491	0	0	0.00141952	2.639	2.653
Cd128	1	717.345	2.66613	0	0	0.00144156	2.66	2.674
Cd129	1	365.298	2.68724	0	0	0.00144163	2.68	2.695
Cd130	0	5608.38	2.7085	4.51319	2.70206	0.00140046	2.699	2.715
Cd131	0	1837.75	2.7305	8.14058	2.724	0.00139695	2.722	2.736
Cd132	0	346.552	2.75013	3.1858	2.74396	0.00141689	2.739	2.758
Cd133	0	30.721	2.77139	4.56696	2.76348	0.00153265	2.759	2.779
Cd134	0	1.74739	2.794	1.08509	2.786	0.00121226	2.783	2.797
