In130	1	81.9739	2.65328	0	0	0.00135053	2.32085e-05	2.648	2.658	2.64923	2.65734	0
In131	1	1090.99	2.67397	0	0	0.00137949	6.39761e-06	2.668	2.679	2.66983	2.67811	0
In132	1	26891	2.69459	0	0	0.00139479	1.28722e-06	2.685	2.701	2.6904	2.69877	0
In133	0	17236.3	2.71519	-1.96749e+06	2.58292	0.00142016	1.32588e-06	2.7065	2.721	2.71093	2.71945	-0
In134	0	2360.78	2.73595	29.2659	2.72924	0.00143404	4.55226e-06	2.727	2.742	2.73165	2.74025	0.0583457
In135	0	238.593	2.75676	37.6267	2.74911	0.00153046	1.41597e-05	2.7455	2.762	2.75217	2.76135	0.357245
In136	0	8.66148	2.77761	16.9562	2.77036	0.00182261	5.31095e-05	2.764	2.783	2.77214	2.78308	24.3821
In137	1	2.39963	2.79169	0	0	0.00262153	0.000278963	2.786	2.797	2.78383	2.79956	0
