Cd127	1	210.178	2.64491	0	0	0.00141952	1.47141e-05	2.639	2.651	2.64065	2.64917	0
Cd128	1	717.343	2.66613	0	0	0.00144156	8.03062e-06	2.66	2.672	2.66181	2.67046	0
Cd129	1	365.297	2.68724	0	0	0.00144163	1.1252e-05	2.68	2.693	2.68292	2.69157	0
Cd130	0	5608.38	2.70798	4.51329	2.70106	0.00140046	2.85649e-06	2.697	2.715	2.70378	2.71218	0.00210939
Cd131	0	1837.75	2.72905	8.1407	2.7217	0.00139694	4.99365e-06	2.718	2.736	2.72486	2.73324	0.0053315
Cd132	0	346.548	2.75013	3.18573	2.74396	0.0014169	1.18723e-05	2.741	2.756	2.74588	2.75438	0.0804271
Cd133	0	30.7204	2.77139	4.56681	2.76348	0.00153265	3.84127e-05	2.759	2.777	2.76679	2.77599	0.228375
Cd134	0	1.74741	2.79288	1.0851	2.78482	0.00201228	0.000173012	2.78	2.8	2.78685	2.79892	8.87371
