RI	No.	Half-life	+-	P1n (max1)	+-	P1n (max1)	+-	isfixt1/2	t1/2min	t1/2max	isfixp1n	p1nmin	p1nmax	isfixp2n	p2nmin	p2nmax
130Ag	1	0.042	0.005	0.5	0.5	0.5	0.5	0	0.0042	0.42	0	0	1	0	0	1
130Cd	2	0.132158	0.000756449	0.030547	0.00423636	0	0	1	0.0132158	1.32158	1	0	1	1	0	1
129Cd	3	0.154	0.002	0	0	0	0	1	0.0154	1.54	1	0	1	1	0	1
130In	4	0.29	0.02	0.0093	0.0013	0	0	1	0.029	2.9	1	0	1	1	0	1
129In	5	0.611	0.005	0.0023	0.0007	0	0	1	0.0611	6.11	1	0	1	1	0	1
128Cd	6	0.28	0.04	0	0	0	0	1	0.028	2.8	1	0	1	1	0	1
130Sn	7	223.2	4.2	0	0	0	0	1	22.32	2232	1	0	1	1	0	1
129Sn	8	133.8	2.4	0	0	0	0	1	13.38	1338	1	0	1	1	0	1
128In	9	0.84	0.06	0.00046	0.00046	0	0	1	0.084	8.4	1	0	1	1	0	1
