RI	No.	Half-life	+-	P1n (max1)	+-	P1n (max1)	+-	isfixt1/2	t1/2min	t1/2max	isfixp1n	p1nmin	p1nmax	isfixp2n	p2nmin	p2nmax
131Ag	1	0.035	0.008	0.5	0.5	0.5	0.5	0	0.0035	0.35	0	0	1	0	0	1
131Cd	2	0.068	0.003	0.035	0.01	0	0	1	0.0068	0.68	1	0	1	1	0	1
130Cd	3	0.162	0.007	0.035	0.01	0	0	1	0.0162	1.62	1	0	1	1	0	1
131In	4	0.28	0.03	0.02	0.003	0	0	1	0.028	2.8	1	0	1	1	0	1
130In	5	0.29	0.02	0.0093	0.0013	0	0	1	0.029	2.9	1	0	1	1	0	1
129Cd	6	0.154	0.002	0	0	0	0	1	0.0154	1.54	1	0	1	1	0	1
131Sn	7	56	0.5	0	0	0	0	1	5.6	560	1	0	1	1	0	1
130Sn	8	223.2	4.2	0	0	0	0	1	22.32	2232	1	0	1	1	0	1
129In	9	0.611	0.005	0.0023	0.0007	0	0	1	0.0611	6.11	1	0	1	1	0	1
