RI	No.	Half-life	+-	P1n	+-	P2n	+-	isfixt1/2	t1/2min	t1/2max	isfixp1n	p1nmin	p1nmax	isfixp2n	p2nmin	p2nmax
131In	1	0.28	0.03	0.02	0.003	0.5	0.5	0	0.028	2.8	0	0	1	0	0	1
131Sn	2	56	0.5	0	0	0	0	1	5.6	560	1	0	1	1	0	1
130Sn	3	223.2	4.2	0	0	0	0	1	22.32	2232	1	0	1	1	0	1
131Sb	4	1381.8	2.4	0	0	0	0	1	138.18	13818	1	0	1	1	0	1
130Sb	5	2370	48	0	0	0	0	1	237	23700	1	0	1	1	0	1
129Sn	6	133.8	2.4	0	0	0	0	1	13.38	1338	1	0	1	1	0	1
131Te	7	1500	6	0	0	0	0	1	150	15000	1	0	1	1	0	1
130Te	8	9999999	9	0	0	0	0	1	999999.9	99999990	1	0	1	1	0	1
129Sb	9	15717.6	93.6	0	0	0	0	1	1571.76	157176	1	0	1	1	0	1
