RI	No.	Half-life	+-	P1n	+-	P2n	+-	isfixt1/2	t1/2min	t1/2max	isfixp1n	p1nmin	p1nmax	isfixp2n	p2nmin	p2nmax
136In	1	0.101	0.005	0.25	0.5	0.67	0.5	0	0.0101	1.01	0	0	1	0	0	1
136Sn	2	0.370417	0.00394659	0.19329	0.0134699	0	0	1	0.0370417	3.70417	1	0	1	1	0	1
135Sn	3	0.51595	0.0287531	0.205298	0.00126338	0	0	1	0.051595	5.1595	1	0	1	1	0	1
136Sb	4	0.923	0.014	0.163	0.032	0	0	1	0.0923	9.23	1	0	1	1	0	1
135Sb	5	1.679	0.015	0.22	0.03	0	0	1	0.1679	16.79	1	0	1	1	0	1
134Sn	6	1.00631	0.0348002	0.242142	0.00111407	0	0	1	0.100631	10.0631	1	0	1	1	0	1
136Te	7	17.63	0.08	0.0131	0.0005	0	0	1	1.763	176.3	1	0	1	1	0	1
135Te	8	19	0.2	0	0	0	0	1	1.9	190	1	0	1	1	0	1
134Sb	9	0.78	0.06	0	0	0	0	1	0.078	7.8	1	0	1	1	0	1
