RI	No.	Half-life	+-	P1n (max1)	+-	P1n (max1)	+-	isfixt1/2	t1/2min	t1/2max	isfixp1n	p1nmin	p1nmax	isfixp2n	p2nmin	p2nmax
130Cd	1	0.162	0.007	0.5	0.5	0.5	0.5	0	0.0162	1.62	0	0	1	0	0	1
130In	2	0.29	0.02	0.0093	0.0013	0	0	0	0.029	2.9	1	0	1	1	0	1
129In	3	0.611	0.005	0.0023	0.0007	0	0	0	0.0611	6.11	1	0	1	1	0	1
130Sn	4	223.2	4.2	0	0	0	0	1	22.32	2232	1	0	1	1	0	1
129Sn	5	133.8	2.4	0	0	0	0	1	13.38	1338	1	0	1	1	0	1
128In	6	0.84	0.06	0	0	0	0	1	0.084	8.4	1	0	1	1	0	1
130Sb	7	2370	48	0	0	0	0	1	237	23700	1	0	1	1	0	1
129Sb	8	15717.6	93.6	0	0	0	0	1	1571.76	157176	1	0	1	1	0	1
128Sn	9	3544.2	8.4	0	0	0	0	1	354.42	35442	1	0	1	1	0	1
