RI	No.	Half-life	+-	P1n (max1)	+-	P1n (max1)	+-	isfixt1/2	t1/2min	t1/2max	isfixp1n	p1nmin	p1nmax	isfixp2n	p2nmin	p2nmax
136Sn	1	0.29	0.02	0.5	0.5	0.5	0.5	0	0.029	2.9	0	0	1	0	0	1
136Sb	2	0.923	0.014	0.163	0.032	0	0	1	0.0923	9.23	1	0	1	1	0	1
135Sb	3	1.679	0.015	0.22	0.03	0	0	1	0.1679	16.79	1	0	1	1	0	1
136Te	4	17.63	0.08	0.0131	0.0005	0	0	1	1.763	176.3	1	0	1	1	0	1
135Te	5	19	0.2	0	0	0	0	1	1.9	190	1	0	1	1	0	1
134Sb	6	0.78	0.06	0	0	0	0	1	0.078	7.8	1	0	1	1	0	1
136I	7	83.4	1	0	0	0	0	1	8.34	834	1	0	1	1	0	1
135I	8	23688	108	0	0	0	0	1	2368.8	236880	1	0	1	1	0	1
134Te	9	2508	48	0	0	0	0	1	250.8	25080	1	0	1	1	0	1
