RI	No.	Half-life	+-	P1n (max1)	+-	P2n (max1)	+-	isfixt1/2	t1/2min	t1/2max	isfixp1n	p1nmin	p1nmax	isfixp2n	p2nmin	p2nmax
131Cd	1	0.068	0.003	0.5	0.5	0.5	0.5	0	0.0068	0.68	0	0	1	0	0	1
131In	2	0.27802	0.00616357	0.0306856	0.00164811	0	0	1	0.027802	2.7802	1	0	1	1	0	1
130In	3	0.29	0.02	0.0093	0.0013	0	0	1	0.029	2.9	1	0	1	1	0	1
131Sn	4	56	0.5	0	0	0	0	1	5.6	560	1	0	1	1	0	1
130Sn	5	223.2	4.2	0	0	0	0	1	22.32	2232	1	0	1	1	0	1
129In	6	0.611	0.005	0	0	0	0	1	0.0611	6.11	1	0	1	1	0	1
131Sb	7	1381.8	2.4	0	0	0	0	1	138.18	13818	1	0	1	1	0	1
130Sb	8	2370	48	0	0	0	0	1	237	23700	1	0	1	1	0	1
129Sn	9	133.8	2.4	0	0	0	0	1	13.38	1338	1	0	1	1	0	1
