RI	No.	Half-life	+-	P1n (max1)	+-	P1n (max1)	+-	isfixt1/2	t1/2min	t1/2max	isfixp1n	p1nmin	p1nmax	isfixp2n	p2nmin	p2nmax
134Sn	1	1.05	0.011	0.5	0.5	0.5	0.5	0	0.105	10.5	0	0	1	0	0	1
134Sb	2	0.78	0.06	0	0	0	0	1	0.078	7.8	1	0	1	1	0	1
133Sb	3	140.4	3	0	0.03	0	0	1	14.04	1404	1	0	1	1	0	1
134Te	4	2508	48	0	0	0	0	1	250.8	25080	1	0	1	1	0	1
133Te	5	750	18	0	0	0	0	1	75	7500	1	0	1	1	0	1
132Sb	6	167.4	4.2	0	0	0	0	1	16.74	1674	1	0	1	1	0	1
134I	7	3150	12	0	0	0	0	1	315	31500	1	0	1	1	0	1
133I	8	74988	288	0	0	0	0	1	7498.8	749880	1	0	1	1	0	1
132Te	9	276825.6	1123.2	0	0	0	0	1	27682.56	2768256	1	0	1	1	0	1
