,0.14,0,0.5,0,0.25,0,0,10
,0.14,0,0.5,0,0.25,0,0,10
,0.14,0,0.5,0,0.25,0,0,10
,0.14,0,0.5,0,0.25,0,0,10
,0.14,0,0.5,0,0.25,0,0,10
,0.142236,0.00287201,0.503271,0.0132031,0.216267,0.00794959,0,10
,0.144493,0.00292061,0.502705,0.0152758,0.255224,0.00933257,0,10
,0.14,0,0.501917,0.015293,0.255359,0.00935873,0,10
,0.14,0,0.505835,0.0463177,0.23426,0.0282699,0,10
,0.14,0,0.505835,0.0463177,0.23426,0.0282699,0,10
,0.14,0,0.485702,0.0616707,0.197014,0.0362411,0,10
,0.14,0,0.570755,0.0624419,0.188099,0.0351329,0,10
,0.14,0,0.422202,0.058924,0.2285,0.0366106,0,10
,0.14,0,0.630821,0.0672102,0.207112,0.0383268,0,10
