# HybridConf_140b_V68_Jul16Jul17.geo					
# Point neutron source					
# Total Events	250000				
# Code 	brikenV69				
# Date 	04May18				
# Calculations by A. Navarro/A. Tarifeño-Saldivia					
# Efficiency	(0,0,-10)	(0,0,0)	(0,0,10)		
# Average [1e-4, 1] MeV	69.03%	67.03%	69.00%		
# Average [1e-4, 5] MeV	62.01%	61.55%	61.87%		
# Average [1e-4, 10] MeV	53.78%	53.66%	53.66%		
#					
#X/cm	Y/cm	Z/cm	Energy/MeV	Efficiency	Std. Error
0	0	-7.5	0.00004	0.7011	0.0017
0	0	-7.5	0.00007	0.7007	0.0017
0	0	-7.5	0.0001	0.7012	0.0017
0	0	-7.5	0.0004	0.7002	0.0017
0	0	-7.5	0.0007	0.6993	0.0017
0	0	-7.5	0.001	0.6975	0.0017
0	0	-7.5	0.004	0.6961	0.0017
0	0	-7.5	0.007	0.6939	0.0017
0	0	-7.5	0.01	0.6932	0.0017
0	0	-7.5	0.04	0.6905	0.0017
0	0	-7.5	0.07	0.6895	0.0017
0	0	-7.5	0.1	0.6899	0.0017
0	0	-7.5	0.2	0.6864	0.0017
0	0	-7.5	0.3	0.6861	0.0017
0	0	-7.5	0.4	0.68	0.0016
0	0	-7.5	0.5	0.6754	0.0016
0	0	-7.5	0.6	0.6747	0.0016
0	0	-7.5	0.7	0.6689	0.0016
0	0	-7.5	0.8	0.6673	0.0016
0	0	-7.5	0.9	0.6622	0.0016
0	0	-7.5	1	0.6609	0.0016
0	0	-7.5	1.1	0.6565	0.0016
0	0	-7.5	1.2	0.6528	0.0016
0	0	-7.5	1.3	0.6485	0.0016
0	0	-7.5	1.4	0.6422	0.0016
0	0	-7.5	1.5	0.6413	0.0016
0	0	-7.5	1.6	0.6374	0.0016
0	0	-7.5	1.7	0.6327	0.0016
0	0	-7.5	1.8	0.6272	0.0016
0	0	-7.5	1.9	0.6243	0.0016
0	0	-7.5	2	0.6212	0.0016
0	0	-7.5	2.1	0.62	0.0016
0	0	-7.5	2.2	0.6154	0.0016
0	0	-7.5	2.3	0.6122	0.0016
0	0	-7.5	2.4	0.6085	0.0016
0	0	-7.5	2.5	0.6025	0.0016
0	0	-7.5	2.6	0.6018	0.0016
0	0	-7.5	2.7	0.5985	0.0015
0	0	-7.5	2.8	0.5975	0.0015
0	0	-7.5	2.9	0.5975	0.0015
0	0	-7.5	3	0.5829	0.0015
0	0	-7.5	3.1	0.5862	0.0015
0	0	-7.5	3.2	0.588	0.0015
0	0	-7.5	3.3	0.5876	0.0015
0	0	-7.5	3.4	0.5881	0.0015
0	0	-7.5	3.5	0.584	0.0015
0	0	-7.5	3.6	0.5805	0.0015
0	0	-7.5	3.7	0.5785	0.0015
0	0	-7.5	3.8	0.5745	0.0015
0	0	-7.5	3.9	0.5679	0.0015
0	0	-7.5	4	0.5634	0.0015
0	0	-7.5	4.1	0.5612	0.0015
0	0	-7.5	4.2	0.5532	0.0015
0	0	-7.5	4.3	0.5468	0.0015
0	0	-7.5	4.4	0.5407	0.0015
0	0	-7.5	4.5	0.5381	0.0015
0	0	-7.5	4.6	0.5343	0.0015
0	0	-7.5	4.7	0.528	0.0015
0	0	-7.5	4.8	0.5233	0.0014
0	0	-7.5	4.9	0.5209	0.0014
0	0	-7.5	5	0.5176	0.0014
0	0	-7.5	5.1	0.5135	0.0014
0	0	-7.5	5.2	0.5092	0.0014
0	0	-7.5	5.3	0.5057	0.0014
0	0	-7.5	5.4	0.5086	0.0014
