RI	No.	Half-life	+-	P1n	+-	P2n	+-	isfixt1/2	t1/2min	t1/2max	isfixp1n	p1nmin	p1nmax	isfixp2n	p2nmin	p2nmax
132In	1	0.207	0.006	0.063	0.009	0.5	0.5	0	0.0207	2.07	0	0	1	0	0	1
132Sn	2	39.7	0.8	0	0	0	0	1	3.97	397	1	0	1	1	0	1
131Sn	3	56	0.5	0	0	0	0	1	5.6	560	1	0	1	1	0	1
132Sb	4	167.4	4.2	0	0	0	0	1	16.74	1674	1	0	1	1	0	1
131Sb	5	1381.8	2.4	0	0	0	0	1	138.18	13818	1	0	1	1	0	1
130Sn	6	223.2	4.2	0	0	0	0	1	22.32	2232	1	0	1	1	0	1
132Te	7	276825.6	1123.2	0	0	0	0	1	27682.56	2768256	1	0	1	1	0	1
131Te	8	1500	6	0	0	0	0	1	150	15000	1	0	1	1	0	1
130Sb	9	2370	48	0	0	0	0	1	237	23700	1	0	1	1	0	1
