RI	No.	Half-life	+-	P1n (max1)	+-	P2n (max1)	+-	isfixt1/2	t1/2min	t1/2max	isfixp1n	p1nmin	p1nmax	isfixp2n	p2nmin	p2nmax
132Cd	1	0.097	0.01	0.8	0.5	0.1	0.5	0	0.0097	0.97	0	0.7	1	0	0	0.3
132In	2	0.212743	0.00749333	0.131116	0.00105754	0	0	2	0.0212743	2.12743	1	0	1	1	0	1
131In	3	0.27802	0.00616357	0.0306856	0.00164811	0	0	2	0.027802	2.7802	1	0	1	1	0	1
132Sn	4	39.7	0.8	0	0	0	0	1	3.97	397	1	0	1	1	0	1
131Sn	5	56	0.5	0	0	0	0	1	5.6	560	1	0	1	1	0	1
130In	6	0.29	0.02	0.0093	0.0013	0	0	1	0.029	2.9	1	0	1	1	0	1
132Sb	7	167.4	4.2	0	0	0	0	1	16.74	1674	1	0	1	1	0	1
131Sb	8	1381.8	2.4	0	0	0	0	1	138.18	13818	1	0	1	1	0	1
130Sn	9	223.2	4.2	0	0	0	0	1	22.32	2232	1	0	1	1	0	1
